"SourceFiscalYear","AccountDSI","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","BudgetSubActivity","BudgetSubActivityTitle","Classified","FiscalYear","OriginType","ActualTotal","EnactedTotal","EnactedType","PBtotal","PBtype","SpecialTotal","SpecialType","IncludeInTOA","AddOrNonAdd"
2013,"2010A","Military Personnel, Army","ARMY","01","Pay and Allowances of Officers","25","Basic Allowance for Housing","U",2012,"Total",,,,2234944,,,,,
2013,"2010A","Military Personnel, Army","ARMY","01","Pay and Allowances of Officers","30","Basic Allowance for Subsistence","U",2012,"Total",,,,296669,,,,,
2013,"2010A","Military Personnel, Army","ARMY","01","Pay and Allowances of Officers","35","Incentive Pays     ","U",2012,"Total",,,,112334,,,,,
2013,"2010A","Military Personnel, Army","ARMY","01","Pay and Allowances of Officers","40","Special Pays       ","U",2012,"Total",,,,413251,,,,,
2013,"2010A","Military Personnel, Army","ARMY","01","Pay and Allowances of Officers","45","Allowances          ","U",2012,"Total",,,,260726,,,,,
2013,"2010A","Military Personnel, Army","ARMY","01","Pay and Allowances of Officers","50","Separation Pay      ","U",2012,"Total",,,,78996,,,,,
2013,"2010A","Military Personnel, Army","ARMY","01","Pay and Allowances of Officers","55","Social Security Tax  ","U",2012,"Total",,,,575043,,,,,
2013,"2010A","Military Personnel, Army","ARMY","02","Pay and Allowances of Enlisted","60","Basic Pay ","U",2012,"Total",,,,15722635,,,,,
2013,"2010A","Military Personnel, Army","ARMY","02","Pay and Allowances of Enlisted","65","Retired Pay Accrual ","U",2012,"Total",,,,5202195,,,,,
2013,"2010A","Military Personnel, Army","ARMY","02","Pay and Allowances of Enlisted","80","Basic Allowance for Housing","U",2012,"Total",,,,5536691,,,,,
2013,"2010A","Military Personnel, Army","ARMY","02","Pay and Allowances of Enlisted","85","Incentive Pays     ","U",2012,"Total",,,,111644,,,,,
2013,"2010A","Military Personnel, Army","ARMY","02","Pay and Allowances of Enlisted","90","Special Pays       ","U",2012,"Total",,,,1071070,,,,,
2013,"2010A","Military Personnel, Army","ARMY","02","Pay and Allowances of Enlisted","95","Allowances         ","U",2012,"Total",,,,1041617,,,,,
2013,"2010A","Military Personnel, Army","ARMY","02","Pay and Allowances of Enlisted","100","Separation Pay     ","U",2012,"Total",,,,290361,,,,,
2013,"2010A","Military Personnel, Army","ARMY","02","Pay and Allowances of Enlisted","105","Social Security Tax   ","U",2012,"Total",,,,1202781,,,,,
2013,"2010A","Military Personnel, Army","ARMY","03","Pay and Allowances of Cadets/Midshipmen","110","Academy Cadets ","U",2012,"Total",,,,76314,,,,,
2013,"2010A","Military Personnel, Army","ARMY","04","Subsistence of Enlisted Personnel","115","Basic Allowance for Subsistence","U",2012,"Total",,,,1585416,,,,,
2013,"2010A","Military Personnel, Army","ARMY","04","Subsistence of Enlisted Personnel","120","Subsistence-In-Kind ","U",2012,"Total",,,,1722091,,,,,
2013,"2010A","Military Personnel, Army","ARMY","04","Subsistence of Enlisted Personnel","121","Family Subsistence Supplemental Allowance ","U",2012,"Total",,,,1848,,,,,
2013,"2010A","Military Personnel, Army","ARMY","05","Permanent Change of Station Travel","125","Accession Travel ","U",2012,"Total",,,,188521,,,,,
2013,"2010A","Military Personnel, Army","ARMY","05","Permanent Change of Station Travel","130","Training Travel ","U",2012,"Total",,,,163735,,,,,
2013,"2010A","Military Personnel, Army","ARMY","05","Permanent Change of Station Travel","135","Operational Travel  ","U",2012,"Total",,,,523007,,,,,
2013,"2010A","Military Personnel, Army","ARMY","05","Permanent Change of Station Travel","140","Rotational Travel  ","U",2012,"Total",,,,732252,,,,,
2013,"2010A","Military Personnel, Army","ARMY","05","Permanent Change of Station Travel","145","Separation Travel ","U",2012,"Total",,,,229841,,,,,
2013,"2010A","Military Personnel, Army","ARMY","05","Permanent Change of Station Travel","150","Travel of Organized Units","U",2012,"Total",,,,13160,,,,,
2013,"2010A","Military Personnel, Army","ARMY","05","Permanent Change of Station Travel","155","Non-Temporary Storage ","U",2012,"Total",,,,9951,,,,,
2013,"2010A","Military Personnel, Army","ARMY","05","Permanent Change of Station Travel","160","Temporary Lodging Expense ","U",2012,"Total",,,,70712,,,,,
2013,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","170","Apprehension of Military Deserters","U",2012,"Total",,,,1429,,,,,
2013,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","175","Interest on Uniformed Services Savings","U",2012,"Total",,,,7165,,,,,
2013,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","180","Death Gratuities ","U",2012,"Total",,,,80100,,,,,
2013,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","185","Unemployment Benefits ","U",2012,"Total",,,,492025,,,,,
2013,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","195","Education Benefits ","U",2012,"Total",,,,12845,,,,,
2013,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","200","Adoption Expenses ","U",2012,"Total",,,,430,,,,,
2013,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","210","Transportation Subsidy ","U",2012,"Total",,,,9848,,,,,
2013,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","212","Reserve Income Replacement Program","U",2012,"Total",,,,243,,,,,
2013,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","215","Partial Dislocation Allowance ","U",2012,"Total",,,,422,,,,,
2013,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","216","SGLI Extra Hazard Payments","U",2012,"Total",,,,102254,,,,,
2013,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","217","Reserve Officers Training Corps (ROTC)","U",2012,"Total",,,,113125,,,,,
2013,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","218","Junior ROTC","U",2012,"Total",,,,36401,,,,,
2013,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","219","Traumatic Injury Protection Coverage (T-SGLI)","U",2012,"Total",,,,46394,,,,,
2013,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","221","Stop-Loss Retroactive Payments","U",2012,"Total",,,,0,,,,,
2013,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","228","Preventive Health Allowance Demonstration Project","U",2012,"Total",,,,1125,,,,,
2013,"2010A","Military Personnel, Army","","","Less Reimbursables","","Less Reimbursables","U",2012,"Total",,,,-245251,,,,,
2013,"1004A","MEDICARE - Retiree Health Care Contribution , A","ARMY","01","Pay and Allowances of Officers","300","Military Personnel, Army","U",2012,"Total",,,,527000,,,,,
2013,"1004A","MEDICARE - Retiree Health Care Contribution , A","ARMY","02","Pay and Allowances of Enlisted","300","Military Personnel, Army","U",2012,"Total",,,,2619969,,,,,
2013,"2070A","Reserve Personnel, Army","ARMY","01","Reserve Component Training and Support","10","Pay Group A Training  (15 Days & Drills 24/48)","U",2012,"Total",,,,1371625,,,,,
2013,"2070A","Reserve Personnel, Army","ARMY","01","Reserve Component Training and Support","20","Pay Group B Training  (Backfill For Act Duty)","U",2012,"Total",,,,35726,,,,,
2013,"2070A","Reserve Personnel, Army","ARMY","01","Reserve Component Training and Support","30","Pay Group F Training  (Recruits)","U",2012,"Total",,,,238018,,,,,
2013,"2070A","Reserve Personnel, Army","ARMY","01","Reserve Component Training and Support","40","Pay Group P Training  (Pipeline Recruits)","U",2012,"Total",,,,7844,,,,,
2013,"2070A","Reserve Personnel, Army","ARMY","01","Reserve Component Training and Support","60","Mobilization Training","U",2012,"Total",,,,5620,,,,,
2013,"2070A","Reserve Personnel, Army","ARMY","01","Reserve Component Training and Support","70","School Training","U",2012,"Total",,,,194789,,,,,
2013,"2070A","Reserve Personnel, Army","ARMY","01","Reserve Component Training and Support","80","Special Training","U",2012,"Total",,,,382951,,,,,
2013,"2070A","Reserve Personnel, Army","ARMY","01","Reserve Component Training and Support","90","Administration and Support","U",2012,"Total",,,,2083677,,,,,
2013,"2070A","Reserve Personnel, Army","ARMY","01","Reserve Component Training and Support","100","Education Benefits","U",2012,"Total",,,,39925,,,,,
2013,"2070A","Reserve Personnel, Army","ARMY","01","Reserve Component Training and Support","120","Health Profession Scholarship","U",2012,"Total",,,,69939,,,,,
2013,"2070A","Reserve Personnel, Army","ARMY","01","Reserve Component Training and Support","130","Other Programs","U",2012,"Total",,,,55577,,,,,
2013,"1005A","MEDICARE - Retiree Health Care Contribution , A RES","ARMY","01","Unit & Individual Training","300","Reserve Personnel, Army","U",2012,"Total",,,,704167,,,,,
2013,"2060A","National Guard Personnel, Army","ARMY","01","Reserve Component Training and Support","10","Pay Group A Training  (15 Days & Drills 24/48)","U",2012,"Total",,,,2271853,,,,,
2013,"2060A","National Guard Personnel, Army","ARMY","01","Reserve Component Training and Support","30","Pay Group F Training  (Recruits)","U",2012,"Total",,,,573577,,,,,
2013,"2060A","National Guard Personnel, Army","ARMY","01","Reserve Component Training and Support","40","Pay Group P Training  (Pipeline Recruits)","U",2012,"Total",,,,46049,,,,,
2013,"2060A","National Guard Personnel, Army","ARMY","01","Reserve Component Training and Support","70","School Training","U",2012,"Total",,,,448557,,,,,
2013,"2060A","National Guard Personnel, Army","ARMY","01","Reserve Component Training and Support","80","Special Training","U",2012,"Total",,,,863829,,,,,
2013,"2060A","National Guard Personnel, Army","ARMY","01","Reserve Component Training and Support","90","Administration and Support","U",2012,"Total",,,,3918257,,,,,
2013,"2060A","National Guard Personnel, Army","ARMY","01","Reserve Component Training and Support","100","Education Benefits","U",2012,"Total",,,,93348,,,,,
2013,"1006A","MEDICARE - Retiree Health Care Contribution , A GUARD","ARMY","01","Unit & Individual Training","300","National Guard Personnel, Army","U",2012,"Total",,,,1234220,,,,,
2013,"1453N","Military Personnel, Navy","NAVY","01","Pay and Allowances of Officers","5","Basic Pay ","U",2012,"Total",,,,4016521,,,,,
2013,"1453N","Military Personnel, Navy","NAVY","01","Pay and Allowances of Officers","10","Retired Pay Accrual ","U",2012,"Total",,,,1363515,,,,,
2013,"1453N","Military Personnel, Navy","NAVY","01","Pay and Allowances of Officers","25","Basic Allowance for Housing","U",2012,"Total",,,,1406446,,,,,
2013,"1453N","Military Personnel, Navy","NAVY","01","Pay and Allowances of Officers","30","Basic Allowance for Subsistence","U",2012,"Total",,,,155814,,,,,
2013,"1453N","Military Personnel, Navy","NAVY","01","Pay and Allowances of Officers","35","Incentive Pays     ","U",2012,"Total",,,,136744,,,,,
2013,"1453N","Military Personnel, Navy","NAVY","01","Pay and Allowances of Officers","40","Special Pays       ","U",2012,"Total",,,,442487,,,,,
2013,"1453N","Military Personnel, Navy","NAVY","01","Pay and Allowances of Officers","45","Allowances          ","U",2012,"Total",,,,120077,,,,,
2013,"1453N","Military Personnel, Navy","NAVY","01","Pay and Allowances of Officers","50","Separation Pay      ","U",2012,"Total",,,,31983,,,,,
2013,"1453N","Military Personnel, Navy","NAVY","01","Pay and Allowances of Officers","55","Social Security Tax  ","U",2012,"Total",,,,304296,,,,,
2013,"1453N","Military Personnel, Navy","NAVY","02","Pay and Allowances of Enlisted","60","Basic Pay ","U",2012,"Total",,,,8510143,,,,,
2013,"1453N","Military Personnel, Navy","NAVY","02","Pay and Allowances of Enlisted","65","Retired Pay Accrual ","U",2012,"Total",,,,2901505,,,,,
2013,"1453N","Military Personnel, Navy","NAVY","02","Pay and Allowances of Enlisted","80","Basic Allowance for Housing","U",2012,"Total",,,,3903396,,,,,
2013,"1453N","Military Personnel, Navy","NAVY","02","Pay and Allowances of Enlisted","85","Incentive Pays     ","U",2012,"Total",,,,100673,,,,,
2013,"1453N","Military Personnel, Navy","NAVY","02","Pay and Allowances of Enlisted","90","Special Pays       ","U",2012,"Total",,,,841153,,,,,
2013,"1453N","Military Personnel, Navy","NAVY","02","Pay and Allowances of Enlisted","95","Allowances         ","U",2012,"Total",,,,543900,,,,,
2013,"1453N","Military Personnel, Navy","NAVY","02","Pay and Allowances of Enlisted","100","Separation Pay     ","U",2012,"Total",,,,244637,,,,,
2013,"1453N","Military Personnel, Navy","NAVY","02","Pay and Allowances of Enlisted","105","Social Security Tax   ","U",2012,"Total",,,,651026,,,,,
2013,"1453N","Military Personnel, Navy","NAVY","03","Pay and Allowances of Cadets/Midshipmen","110","Midshipmen ","U",2012,"Total",,,,75850,,,,,
2013,"1453N","Military Personnel, Navy","NAVY","04","Subsistence of Enlisted Personnel","115","Basic Allowance for Subsistence","U",2012,"Total",,,,746069,,,,,
2013,"1453N","Military Personnel, Navy","NAVY","04","Subsistence of Enlisted Personnel","120","Subsistence-In-Kind ","U",2012,"Total",,,,438314,,,,,
2013,"1453N","Military Personnel, Navy","NAVY","04","Subsistence of Enlisted Personnel","121","Family Subsistence Supplemental Allowance ","U",2012,"Total",,,,12,,,,,
2013,"1453N","Military Personnel, Navy","NAVY","05","Permanent Change of Station Travel","125","Accession Travel ","U",2012,"Total",,,,92828,,,,,
2013,"1453N","Military Personnel, Navy","NAVY","05","Permanent Change of Station Travel","130","Training Travel ","U",2012,"Total",,,,124832,,,,,
2013,"1453N","Military Personnel, Navy","NAVY","05","Permanent Change of Station Travel","135","Operational Travel  ","U",2012,"Total",,,,299046,,,,,
2013,"1453N","Military Personnel, Navy","NAVY","05","Permanent Change of Station Travel","140","Rotational Travel  ","U",2012,"Total",,,,378159,,,,,
2013,"1453N","Military Personnel, Navy","NAVY","05","Permanent Change of Station Travel","145","Separation Travel ","U",2012,"Total",,,,148214,,,,,
2013,"1453N","Military Personnel, Navy","NAVY","05","Permanent Change of Station Travel","150","Travel of Organized Units","U",2012,"Total",,,,27299,,,,,
2013,"1453N","Military Personnel, Navy","NAVY","05","Permanent Change of Station Travel","155","Non-Temporary Storage ","U",2012,"Total",,,,6008,,,,,
2013,"1453N","Military Personnel, Navy","NAVY","05","Permanent Change of Station Travel","160","Temporary Lodging Expense ","U",2012,"Total",,,,6797,,,,,
2013,"1453N","Military Personnel, Navy","NAVY","05","Permanent Change of Station Travel","165","Other ","U",2012,"Total",,,,6231,,,,,
2013,"1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","170","Apprehension of Military Deserters","U",2012,"Total",,,,262,,,,,
2013,"1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","175","Interest on Uniformed Services Savings","U",2012,"Total",,,,2340,,,,,
2013,"1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","180","Death Gratuities ","U",2012,"Total",,,,17000,,,,,
2013,"1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","185","Unemployment Benefits ","U",2012,"Total",,,,165672,,,,,
2013,"1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","195","Education Benefits ","U",2012,"Total",,,,20573,,,,,
2013,"1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","200","Adoption Expenses ","U",2012,"Total",,,,275,,,,,
2013,"1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","210","Transportation Subsidy ","U",2012,"Total",,,,7687,,,,,
2013,"1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","212","Reserve Income Replacement Program","U",2012,"Total",,,,0,,,,,
2013,"1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","215","Partial Dislocation Allowance ","U",2012,"Total",,,,56,,,,,
2013,"1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","216","SGLI Extra Hazard Payments","U",2012,"Total",,,,56303,,,,,
2013,"1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","217","Reserve Officers Training Corps (ROTC)","U",2012,"Total",,,,25763,,,,,
2013,"1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","218","Junior R.O.T.C","U",2012,"Total",,,,12965,,,,,
2013,"1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","221","Stop-Loss Retroactive Payments","U",2012,"Total",,,,0,,,,,
2013,"1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","228","Preventive Health Allowance Demonstration Project","U",2012,"Total",,,,1125,,,,,
2013,"1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","240","Cancelled Account Payment","U",2012,"Total",,,,0,,,,,
2013,"1453N","Military Personnel, Navy","","","Less Reimbursables","","Less Reimbursables","U",2012,"Total",,,,-282803,,,,,
2013,"1000N","MEDICARE - Retiree Health Care Contribution , N","NAVY","01","Pay and Allowances of Officers","300","Navy","U",2012,"Total",,,,294881,,,,,
2013,"1000N","MEDICARE - Retiree Health Care Contribution , N","NAVY","02","Pay and Allowances of Enlisted","300","Navy","U",2012,"Total",,,,1511477,,,,,
2013,"1105N","Military Personnel, Marine Corps","NAVY","01","Pay and Allowances of Officers","5","Basic Pay ","U",2012,"Total",,,,1549887,,,,,
2013,"1105N","Military Personnel, Marine Corps","NAVY","01","Pay and Allowances of Officers","10","Retired Pay Accrual ","U",2012,"Total",,,,524391,,,,,
2013,"1105N","Military Personnel, Marine Corps","NAVY","01","Pay and Allowances of Officers","25","Basic Allowance For Housing ","U",2012,"Total",,,,512199,,,,,
2013,"1105N","Military Personnel, Marine Corps","NAVY","01","Pay and Allowances of Officers","30","Basic Allowance For Subsistence ","U",2012,"Total",,,,64502,,,,,
2013,"1105N","Military Personnel, Marine Corps","NAVY","01","Pay and Allowances of Officers","35","Incentive Pays     ","U",2012,"Total",,,,53004,,,,,
2013,"1105N","Military Personnel, Marine Corps","NAVY","01","Pay and Allowances of Officers","40","Special Pays       ","U",2012,"Total",,,,42851,,,,,
2013,"1105N","Military Personnel, Marine Corps","NAVY","01","Pay and Allowances of Officers","45","Allowances          ","U",2012,"Total",,,,42355,,,,,
2013,"1105N","Military Personnel, Marine Corps","NAVY","01","Pay and Allowances of Officers","50","Separation Pay      ","U",2012,"Total",,,,17293,,,,,
2013,"1105N","Military Personnel, Marine Corps","NAVY","01","Pay and Allowances of Officers","55","Social Security Tax  ","U",2012,"Total",,,,117495,,,,,
2013,"1105N","Military Personnel, Marine Corps","NAVY","02","Pay and Allowances of Enlisted","60","Basic Pay ","U",2012,"Total",,,,5157689,,,,,
2013,"1105N","Military Personnel, Marine Corps","NAVY","02","Pay and Allowances of Enlisted","65","Retired Pay Accrual ","U",2012,"Total",,,,1749867,,,,,
2013,"1105N","Military Personnel, Marine Corps","NAVY","02","Pay and Allowances of Enlisted","80","Basic Allowance for Housing","U",2012,"Total",,,,1797374,,,,,
2013,"1105N","Military Personnel, Marine Corps","NAVY","02","Pay and Allowances of Enlisted","85","Incentive Pays     ","U",2012,"Total",,,,10136,,,,,
2013,"1105N","Military Personnel, Marine Corps","NAVY","02","Pay and Allowances of Enlisted","90","Special Pays       ","U",2012,"Total",,,,268612,,,,,
2013,"1105N","Military Personnel, Marine Corps","NAVY","02","Pay and Allowances of Enlisted","95","Allowances         ","U",2012,"Total",,,,338839,,,,,
2013,"1105N","Military Personnel, Marine Corps","NAVY","02","Pay and Allowances of Enlisted","100","Separation Pay     ","U",2012,"Total",,,,72580,,,,,
2013,"1105N","Military Personnel, Marine Corps","NAVY","02","Pay and Allowances of Enlisted","105","Social Security Tax   ","U",2012,"Total",,,,393611,,,,,
2013,"1105N","Military Personnel, Marine Corps","NAVY","04","Subsistence of Enlisted Personnel","115","Basic Allowance for Subsistence","U",2012,"Total",,,,485823,,,,,
2013,"1105N","Military Personnel, Marine Corps","NAVY","04","Subsistence of Enlisted Personnel","120","Subsistence-In-Kind ","U",2012,"Total",,,,293371,,,,,
2013,"1105N","Military Personnel, Marine Corps","NAVY","04","Subsistence of Enlisted Personnel","121","Family Subsistence Supplemental Allowance ","U",2012,"Total",,,,50,,,,,
2013,"1105N","Military Personnel, Marine Corps","NAVY","05","Permanent Change of Station Travel","125","Accession Travel ","U",2012,"Total",,,,92021,,,,,
2013,"1105N","Military Personnel, Marine Corps","NAVY","05","Permanent Change of Station Travel","130","Training Travel ","U",2012,"Total",,,,9356,,,,,
2013,"1105N","Military Personnel, Marine Corps","NAVY","05","Permanent Change of Station Travel","135","Operational Travel  ","U",2012,"Total",,,,257483,,,,,
2013,"1105N","Military Personnel, Marine Corps","NAVY","05","Permanent Change of Station Travel","140","Rotational Travel  ","U",2012,"Total",,,,145562,,,,,
2013,"1105N","Military Personnel, Marine Corps","NAVY","05","Permanent Change of Station Travel","145","Separation Travel ","U",2012,"Total",,,,64688,,,,,
2013,"1105N","Military Personnel, Marine Corps","NAVY","05","Permanent Change of Station Travel","150","Travel of Organized Units","U",2012,"Total",,,,754,,,,,
2013,"1105N","Military Personnel, Marine Corps","NAVY","05","Permanent Change of Station Travel","155","Non-Temporary Storage ","U",2012,"Total",,,,6442,,,,,
2013,"1105N","Military Personnel, Marine Corps","NAVY","05","Permanent Change of Station Travel","160","Temporary Lodging Expense ","U",2012,"Total",,,,14317,,,,,
2013,"1105N","Military Personnel, Marine Corps","NAVY","05","Permanent Change of Station Travel","165","Other ","U",2012,"Total",,,,2726,,,,,
2013,"1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","170","Apprehension of Military Deserters","U",2012,"Total",,,,968,,,,,
2013,"1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","175","Interest on Uniformed Services Savings","U",2012,"Total",,,,19,,,,,
2013,"1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","180","Death Gratuities ","U",2012,"Total",,,,30100,,,,,
2013,"1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","185","Unemployment Benefits ","U",2012,"Total",,,,148864,,,,,
2013,"1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","195","Education Benefits ","U",2012,"Total",,,,5002,,,,,
2013,"1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","200","Adoption Expenses ","U",2012,"Total",,,,73,,,,,
2013,"1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","210","Transportation Subsidy ","U",2012,"Total",,,,3491,,,,,
2013,"1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","215","Partial Dislocation Allowance ","U",2012,"Total",,,,283,,,,,
2013,"1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","216","SGLI Extra Hazard Payments","U",2012,"Total",,,,35243,,,,,
2013,"1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","218","Junior R.O.T.C","U",2012,"Total",,,,5813,,,,,
2013,"1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","221","Stop-Loss Retroactive Payments","U",2012,"Total",,,,0,,,,,
2013,"1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","228","Preventive Health Allowance Demonstration Project","U",2012,"Total",,,,1125,,,,,
2013,"1105N","Military Personnel, Marine Corps","","","Less Reimbursables","","Less Reimbursables","U",2012,"Total",,,,-22485,,,,,
2013,"1001N","MEDICARE - Retiree Health Care Contribution ,MC","NAVY","01","Pay and Allowances of Officers","300","Marine Corps","U",2012,"Total",,,,122142,,,,,
2013,"1001N","MEDICARE - Retiree Health Care Contribution ,MC","NAVY","02","Pay and Allowances of Enlisted","300","Marine Corps","U",2012,"Total",,,,1003941,,,,,
2013,"1405N","Reserve Personnel, Navy","NAVY","01","Reserve Component Training and Support","10","Pay Group A Training  (15 Days & Drills 24/48)","U",2012,"Total",,,,609537,,,,,
2013,"1405N","Reserve Personnel, Navy","NAVY","01","Reserve Component Training and Support","20","Pay Group B Training  (Backfill For Active Duty)","U",2012,"Total",,,,8942,,,,,
2013,"1405N","Reserve Personnel, Navy","NAVY","01","Reserve Component Training and Support","30","Pay Group F Training  (Recruits)","U",2012,"Total",,,,52498,,,,,
2013,"1405N","Reserve Personnel, Navy","NAVY","01","Reserve Component Training and Support","60","Mobilization Training","U",2012,"Total",,,,8727,,,,,
2013,"1405N","Reserve Personnel, Navy","NAVY","01","Reserve Component Training and Support","70","School Training","U",2012,"Total",,,,56466,,,,,
2013,"1405N","Reserve Personnel, Navy","NAVY","01","Reserve Component Training and Support","80","Special Training","U",2012,"Total",,,,174031,,,,,
2013,"1405N","Reserve Personnel, Navy","NAVY","01","Reserve Component Training and Support","90","Administration and Support","U",2012,"Total",,,,1010505,,,,,
2013,"1405N","Reserve Personnel, Navy","NAVY","01","Reserve Component Training and Support","100","Education Benefits","U",2012,"Total",,,,1382,,,,,
2013,"1405N","Reserve Personnel, Navy","NAVY","01","Reserve Component Training and Support","120","Health Profession Scholarship","U",2012,"Total",,,,57435,,,,,
2013,"1002N","MEDICARE - Retiree Health Care Contribution , N RES","NAVY","01","Unit & Individual Training","300","Reserve Personnel, Navy","U",2012,"Total",,,,236044,,,,,
2013,"1108N","Reserve Personnel, Marine Corps","NAVY","01","Reserve Component Training and Support","10","Pay Group A Training  (15 Days & Drills 24/48)","U",2012,"Total",,,,224780,,,,,
2013,"1108N","Reserve Personnel, Marine Corps","NAVY","01","Reserve Component Training and Support","20","Pay Group B Training  (Backfill For Act Duty)","U",2012,"Total",,,,29701,,,,,
2013,"1108N","Reserve Personnel, Marine Corps","NAVY","01","Reserve Component Training and Support","30","Pay Group F Training  (Recruits)","U",2012,"Total",,,,116591,,,,,
2013,"1108N","Reserve Personnel, Marine Corps","NAVY","01","Reserve Component Training and Support","60","Mobilization Training","U",2012,"Total",,,,2198,,,,,
2013,"1108N","Reserve Personnel, Marine Corps","NAVY","01","Reserve Component Training and Support","70","School Training","U",2012,"Total",,,,19513,,,,,
2013,"1108N","Reserve Personnel, Marine Corps","NAVY","01","Reserve Component Training and Support","80","Special Training","U",2012,"Total",,,,39680,,,,,
2013,"1108N","Reserve Personnel, Marine Corps","NAVY","01","Reserve Component Training and Support","90","Administration and Support","U",2012,"Total",,,,216849,,,,,
2013,"1108N","Reserve Personnel, Marine Corps","NAVY","01","Reserve Component Training and Support","95","Platoon Leader Class","U",2012,"Total",,,,11914,,,,,
2013,"1108N","Reserve Personnel, Marine Corps","NAVY","01","Reserve Component Training and Support","100","Education Benefits","U",2012,"Total",,,,6820,,,,,
2013,"1003N","MEDICARE - Retiree Health Care Contribution , MC RES","NAVY","01","Unit & Individual Training","300","Reserve Personnel, Marine Corps","U",2012,"Total",,,,134710,,,,,
2013,"3500F","Military Personnel, Air Force","AF","01","Pay and Allowances of Officers","5","Basic Pay ","U",2012,"Total",,,,4977012,,,,,
2013,"3500F","Military Personnel, Air Force","AF","01","Pay and Allowances of Officers","10","Retired Pay Accrual ","U",2012,"Total",,,,1676687,,,,,
2013,"3500F","Military Personnel, Air Force","AF","01","Pay and Allowances of Officers","25","Basic Allowance for Housing","U",2012,"Total",,,,1489754,,,,,
2013,"3500F","Military Personnel, Air Force","AF","01","Pay and Allowances of Officers","30","Basic Allowance for Subsistence","U",2012,"Total",,,,194341,,,,,
2013,"3500F","Military Personnel, Air Force","AF","01","Pay and Allowances of Officers","35","Incentive Pays     ","U",2012,"Total",,,,229324,,,,,
2013,"3500F","Military Personnel, Air Force","AF","01","Pay and Allowances of Officers","40","Special Pays       ","U",2012,"Total",,,,334617,,,,,
2013,"3500F","Military Personnel, Air Force","AF","01","Pay and Allowances of Officers","45","Allowances          ","U",2012,"Total",,,,147915,,,,,
2013,"3500F","Military Personnel, Air Force","AF","01","Pay and Allowances of Officers","50","Separation Pay      ","U",2012,"Total",,,,197616,,,,,
2013,"3500F","Military Personnel, Air Force","AF","01","Pay and Allowances of Officers","55","Social Security Tax  ","U",2012,"Total",,,,378197,,,,,
2013,"3500F","Military Personnel, Air Force","AF","02","Pay and Allowances of Enlisted","60","Basic Pay ","U",2012,"Total",,,,9040427,,,,,
2013,"3500F","Military Personnel, Air Force","AF","02","Pay and Allowances of Enlisted","65","Retired Pay Accrual ","U",2012,"Total",,,,3050089,,,,,
