"","AccountDSI","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","BudgetSubActivity","BudgetSubActivityTitle","IncludeInTOA","IncludeInTOA","Classified","variable","value"
"509","1004A","MEDICARE - Retiree Health Care Contribution, A","ARMY","01","Health Care Contribution - Officers","300","Military Personnel, Army","Y","Y","U","FY.2016.Base.Enacted","371000"
"510","1004A","MEDICARE - Retiree Health Care Contribution, A","ARMY","02","Health Care Contribution - Enlisted","300","Military Personnel, Army","Y","Y","U","FY.2016.Base.Enacted","1518889"
"511","2070A","Reserve Personnel, Army","ARMY","01","Reserve Component Training and Support","010","Pay Group A Training  (15 Days & Drills 24/48)","Y","Y","U","FY.2016.Base.Enacted","1522349"
"512","2070A","Reserve Personnel, Army","ARMY","01","Reserve Component Training and Support","020","Pay Group B Training  (Backfill For Active Duty)","Y","Y","U","FY.2016.Base.Enacted","44492"
"513","2070A","Reserve Personnel, Army","ARMY","01","Reserve Component Training and Support","030","Pay Group F Training  (Recruits)","Y","Y","U","FY.2016.Base.Enacted","216726"
"514","2070A","Reserve Personnel, Army","ARMY","01","Reserve Component Training and Support","040","Pay Group P Training  (Pipeline Recruits)","Y","Y","U","FY.2016.Base.Enacted","13326"
"515","2070A","Reserve Personnel, Army","ARMY","01","Reserve Component Training and Support","060","Mobilization Training","Y","Y","U","FY.2016.Base.Enacted","320"
"516","2070A","Reserve Personnel, Army","ARMY","01","Reserve Component Training and Support","070","School Training","Y","Y","U","FY.2016.Base.Enacted","210779"
"517","2070A","Reserve Personnel, Army","ARMY","01","Reserve Component Training and Support","080","Special Training","Y","Y","U","FY.2016.Base.Enacted","251057"
"518","2070A","Reserve Personnel, Army","ARMY","01","Reserve Component Training and Support","090","Administration and Support","Y","Y","U","FY.2016.Base.Enacted","2066029"
"519","2070A","Reserve Personnel, Army","ARMY","01","Reserve Component Training and Support","100","Education Benefits","Y","Y","U","FY.2016.Base.Enacted","18380"
"520","2070A","Reserve Personnel, Army","ARMY","01","Reserve Component Training and Support","120","Health Profession Scholarship","Y","Y","U","FY.2016.Base.Enacted","59605"
"521","2070A","Reserve Personnel, Army","ARMY","01","Reserve Component Training and Support","130","Other Programs (Admin & Support)","Y","Y","U","FY.2016.Base.Enacted","60101"
"522","1005A","MEDICARE - Retiree Health Care Contribution, A RES","ARMY","01","Health Care Contribution - Reserve Component","300","Reserve Personnel, Army","Y","Y","U","FY.2016.Base.Enacted","357528"
"523","2060A","National Guard Personnel, Army","ARMY","01","Reserve Component Training and Support","010","Pay Group A Training  (15 Days & Drills 24/48)","Y","Y","U","FY.2016.Base.Enacted","2549671"
"524","2060A","National Guard Personnel, Army","ARMY","01","Reserve Component Training and Support","030","Pay Group F Training  (Recruits)","Y","Y","U","FY.2016.Base.Enacted","539106"
"525","2060A","National Guard Personnel, Army","ARMY","01","Reserve Component Training and Support","040","Pay Group P Training  (Pipeline Recruits)","Y","Y","U","FY.2016.Base.Enacted","47418"
"526","2060A","National Guard Personnel, Army","ARMY","01","Reserve Component Training and Support","070","School Training","Y","Y","U","FY.2016.Base.Enacted","479036"
"527","2060A","National Guard Personnel, Army","ARMY","01","Reserve Component Training and Support","080","Special Training","Y","Y","U","FY.2016.Base.Enacted","604771"
"528","2060A","National Guard Personnel, Army","ARMY","01","Reserve Component Training and Support","090","Administration and Support","Y","Y","U","FY.2016.Base.Enacted","3652459"
"529","2060A","National Guard Personnel, Army","ARMY","01","Reserve Component Training and Support","100","Education Benefits","Y","Y","U","FY.2016.Base.Enacted","19866"
"530","1006A","MEDICARE - Retiree Health Care Contribution, A GUARD","ARMY","01","Health Care Contribution - Reserve Component","300","National Guard Personnel, Army","Y","Y","U","FY.2016.Base.Enacted","629824"
"531","1453N","Military Personnel, Navy","NAVY","01","Pay and Allowances of Officers","005","Basic Pay","Y","Y","U","FY.2016.Base.Enacted","3894436"
"532","1453N","Military Personnel, Navy","NAVY","01","Pay and Allowances of Officers","010","Retired Pay Accrual","Y","Y","U","FY.2016.Base.Enacted","1290301"
"533","1453N","Military Personnel, Navy","NAVY","01","Pay and Allowances of Officers","025","Basic Allowance for Housing","Y","Y","U","FY.2016.Base.Enacted","1505773"
"534","1453N","Military Personnel, Navy","NAVY","01","Pay and Allowances of Officers","030","Basic Allowance for Subsistence","Y","Y","U","FY.2016.Base.Enacted","172082"
"535","1453N","Military Personnel, Navy","NAVY","01","Pay and Allowances of Officers","035","Incentive Pays","Y","Y","U","FY.2016.Base.Enacted","132555"
"536","1453N","Military Personnel, Navy","NAVY","01","Pay and Allowances of Officers","040","Special Pays","Y","Y","U","FY.2016.Base.Enacted","437248"
"537","1453N","Military Personnel, Navy","NAVY","01","Pay and Allowances of Officers","045","Allowances","Y","Y","U","FY.2016.Base.Enacted","131475"
"538","1453N","Military Personnel, Navy","NAVY","01","Pay and Allowances of Officers","050","Separation Pay","Y","Y","U","FY.2016.Base.Enacted","42355"
"539","1453N","Military Personnel, Navy","NAVY","01","Pay and Allowances of Officers","055","Social Security Tax","Y","Y","U","FY.2016.Base.Enacted","313642"
"540","1453N","Military Personnel, Navy","NAVY","02","Pay And Allowances Of Enlisted Personnel","060","Basic Pay","Y","Y","U","FY.2016.Base.Enacted","8657386"
"541","1453N","Military Personnel, Navy","NAVY","02","Pay And Allowances Of Enlisted Personnel","065","Retired Pay Accrual","Y","Y","U","FY.2016.Base.Enacted","2769263"
"542","1453N","Military Personnel, Navy","NAVY","02","Pay And Allowances Of Enlisted Personnel","080","Basic Allowance for Housing","Y","Y","U","FY.2016.Base.Enacted","4071548"
"543","1453N","Military Personnel, Navy","NAVY","02","Pay And Allowances Of Enlisted Personnel","085","Incentive Pays","Y","Y","U","FY.2016.Base.Enacted","104910"
"544","1453N","Military Personnel, Navy","NAVY","02","Pay And Allowances Of Enlisted Personnel","090","Special Pays","Y","Y","U","FY.2016.Base.Enacted","779276"
"545","1453N","Military Personnel, Navy","NAVY","02","Pay And Allowances Of Enlisted Personnel","095","Allowances","Y","Y","U","FY.2016.Base.Enacted","581588"
"546","1453N","Military Personnel, Navy","NAVY","02","Pay And Allowances Of Enlisted Personnel","100","Separation Pay","Y","Y","U","FY.2016.Base.Enacted","156500"
"547","1453N","Military Personnel, Navy","NAVY","02","Pay And Allowances Of Enlisted Personnel","105","Social Security Tax","Y","Y","U","FY.2016.Base.Enacted","674951"
"548","1453N","Military Personnel, Navy","NAVY","03","Pay And Allowances Of Cadets","110","Midshipmen","Y","Y","U","FY.2016.Base.Enacted","79242"
"549","1453N","Military Personnel, Navy","NAVY","04","Subsistence of Enlisted Personnel","115","Basic Allowance for Subsistence","Y","Y","U","FY.2016.Base.Enacted","791044"
"550","1453N","Military Personnel, Navy","NAVY","04","Subsistence of Enlisted Personnel","120","Subsistence-In-Kind","Y","Y","U","FY.2016.Base.Enacted","429817"
"551","1453N","Military Personnel, Navy","NAVY","04","Subsistence of Enlisted Personnel","121","Family Subsistence Supplemental Allowance","Y","Y","U","FY.2016.Base.Enacted","4"
"552","1453N","Military Personnel, Navy","NAVY","05","Permanent Change of Station Travel","125","Accession Travel","Y","Y","U","FY.2016.Base.Enacted","88649"
"553","1453N","Military Personnel, Navy","NAVY","05","Permanent Change of Station Travel","130","Training Travel","Y","Y","U","FY.2016.Base.Enacted","99893"
"554","1453N","Military Personnel, Navy","NAVY","05","Permanent Change of Station Travel","135","Operational Travel","Y","Y","U","FY.2016.Base.Enacted","249743"
"555","1453N","Military Personnel, Navy","NAVY","05","Permanent Change of Station Travel","140","Rotational Travel","Y","Y","U","FY.2016.Base.Enacted","284292"
"556","1453N","Military Personnel, Navy","NAVY","05","Permanent Change of Station Travel","145","Separation Travel","Y","Y","U","FY.2016.Base.Enacted","120917"
"557","1453N","Military Personnel, Navy","NAVY","05","Permanent Change of Station Travel","150","Travel of Organized Units","Y","Y","U","FY.2016.Base.Enacted","30968"
"558","1453N","Military Personnel, Navy","NAVY","05","Permanent Change of Station Travel","155","Non-Temporary Storage","Y","Y","U","FY.2016.Base.Enacted","12159"
"559","1453N","Military Personnel, Navy","NAVY","05","Permanent Change of Station Travel","160","Temporary Lodging Expense","Y","Y","U","FY.2016.Base.Enacted","15800"
"560","1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","170","Apprehension of Military Deserters","Y","Y","U","FY.2016.Base.Enacted","59"
"561","1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","175","Interest on Uniformed Services Savings","Y","Y","U","FY.2016.Base.Enacted","1370"
"562","1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","180","Death Gratuities","Y","Y","U","FY.2016.Base.Enacted","17800"
"563","1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","185","Unemployment Benefits","Y","Y","U","FY.2016.Base.Enacted","72655"
"564","1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","195","Education Benefits","Y","Y","U","FY.2016.Base.Enacted","19364"
"565","1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","200","Adoption Expenses","Y","Y","U","FY.2016.Base.Enacted","265"
"566","1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","210","Transportation Subsidy","Y","Y","U","FY.2016.Base.Enacted","4993"
"567","1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","212","Reserve Income Replacement Program","Y","Y","U","FY.2016.Base.Enacted","0"
"568","1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","215","Partial Dislocation Allowance","Y","Y","U","FY.2016.Base.Enacted","35"
"569","1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","216","SGLI Extra Hazard Payments","Y","Y","U","FY.2016.Base.Enacted","0"
"570","1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","217","Reserve Officers Training Corps (ROTC)","Y","Y","U","FY.2016.Base.Enacted","21269"
"571","1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","218","Junior ROTC","Y","Y","U","FY.2016.Base.Enacted","14733"
"572","1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","240","Cancelled Account Payment","Y","Y","U","FY.2016.Base.Enacted","0"
"573","1453N","Military Personnel, Navy","NAVY",NA,"Less Reimbursables",NA,"Less Reimbursables","N","N","U","FY.2016.Base.Enacted","-366320"
"574","1000N","MEDICARE - Retiree Health Care Contribution, N","NAVY","01","Health Care Contribution - Officers","300","Navy","Y","Y","U","FY.2016.Base.Enacted","217039"
"575","1000N","MEDICARE - Retiree Health Care Contribution, N","NAVY","02","Health Care Contribution - Enlisted","300","Navy","Y","Y","U","FY.2016.Base.Enacted","1064429"
"576","1105N","Military Personnel, Marine Corps","NAVY","01","Pay and Allowances of Officers","005","Basic Pay","Y","Y","U","FY.2016.Base.Enacted","1506223"
"577","1105N","Military Personnel, Marine Corps","NAVY","01","Pay and Allowances of Officers","010","Retired Pay Accrual","Y","Y","U","FY.2016.Base.Enacted","474241"
"578","1105N","Military Personnel, Marine Corps","NAVY","01","Pay and Allowances of Officers","025","Basic Allowance for Housing","Y","Y","U","FY.2016.Base.Enacted","489384"
"579","1105N","Military Personnel, Marine Corps","NAVY","01","Pay and Allowances of Officers","030","Basic Allowance for Subsistence","Y","Y","U","FY.2016.Base.Enacted","64674"
"580","1105N","Military Personnel, Marine Corps","NAVY","01","Pay and Allowances of Officers","035","Incentive Pays","Y","Y","U","FY.2016.Base.Enacted","35998"
"581","1105N","Military Personnel, Marine Corps","NAVY","01","Pay and Allowances of Officers","040","Special Pays","Y","Y","U","FY.2016.Base.Enacted","6210"
"582","1105N","Military Personnel, Marine Corps","NAVY","01","Pay and Allowances of Officers","045","Allowances","Y","Y","U","FY.2016.Base.Enacted","36300"
"583","1105N","Military Personnel, Marine Corps","NAVY","01","Pay and Allowances of Officers","050","Separation Pay","Y","Y","U","FY.2016.Base.Enacted","14887"
"584","1105N","Military Personnel, Marine Corps","NAVY","01","Pay and Allowances of Officers","055","Social Security Tax","Y","Y","U","FY.2016.Base.Enacted","115108"
"585","1105N","Military Personnel, Marine Corps","NAVY","02","Pay And Allowances Of Enlisted Personnel","060","Basic Pay","Y","Y","U","FY.2016.Base.Enacted","4756530"
"586","1105N","Military Personnel, Marine Corps","NAVY","02","Pay And Allowances Of Enlisted Personnel","065","Retired Pay Accrual","Y","Y","U","FY.2016.Base.Enacted","1509761"
"587","1105N","Military Personnel, Marine Corps","NAVY","02","Pay And Allowances Of Enlisted Personnel","080","Basic Allowance for Housing","Y","Y","U","FY.2016.Base.Enacted","1557470"
"588","1105N","Military Personnel, Marine Corps","NAVY","02","Pay And Allowances Of Enlisted Personnel","085","Incentive Pays","Y","Y","U","FY.2016.Base.Enacted","9508"
"589","1105N","Military Personnel, Marine Corps","NAVY","02","Pay And Allowances Of Enlisted Personnel","090","Special Pays","Y","Y","U","FY.2016.Base.Enacted","116177"
"590","1105N","Military Personnel, Marine Corps","NAVY","02","Pay And Allowances Of Enlisted Personnel","095","Allowances","Y","Y","U","FY.2016.Base.Enacted","297795"
"591","1105N","Military Personnel, Marine Corps","NAVY","02","Pay And Allowances Of Enlisted Personnel","100","Separation Pay","Y","Y","U","FY.2016.Base.Enacted","93577"
"592","1105N","Military Personnel, Marine Corps","NAVY","02","Pay And Allowances Of Enlisted Personnel","105","Social Security Tax","Y","Y","U","FY.2016.Base.Enacted","369010"
"593","1105N","Military Personnel, Marine Corps","NAVY","04","Subsistence of Enlisted Personnel","115","Basic Allowance for Subsistence","Y","Y","U","FY.2016.Base.Enacted","435030"
"594","1105N","Military Personnel, Marine Corps","NAVY","04","Subsistence of Enlisted Personnel","120","Subsistence-In-Kind","Y","Y","U","FY.2016.Base.Enacted","379036"
"595","1105N","Military Personnel, Marine Corps","NAVY","04","Subsistence of Enlisted Personnel","121","Family Subsistence Supplemental Allowance","Y","Y","U","FY.2016.Base.Enacted","10"
"596","1105N","Military Personnel, Marine Corps","NAVY","05","Permanent Change of Station Travel","125","Accession Travel","Y","Y","U","FY.2016.Base.Enacted","57955"
"597","1105N","Military Personnel, Marine Corps","NAVY","05","Permanent Change of Station Travel","130","Training Travel","Y","Y","U","FY.2016.Base.Enacted","16913"
"598","1105N","Military Personnel, Marine Corps","NAVY","05","Permanent Change of Station Travel","135","Operational Travel","Y","Y","U","FY.2016.Base.Enacted","161285"
"599","1105N","Military Personnel, Marine Corps","NAVY","05","Permanent Change of Station Travel","140","Rotational Travel","Y","Y","U","FY.2016.Base.Enacted","121359"
"600","1105N","Military Personnel, Marine Corps","NAVY","05","Permanent Change of Station Travel","145","Separation Travel","Y","Y","U","FY.2016.Base.Enacted","97940"
"601","1105N","Military Personnel, Marine Corps","NAVY","05","Permanent Change of Station Travel","150","Travel of Organized Units","Y","Y","U","FY.2016.Base.Enacted","797"
"602","1105N","Military Personnel, Marine Corps","NAVY","05","Permanent Change of Station Travel","155","Non-Temporary Storage","Y","Y","U","FY.2016.Base.Enacted","5564"
"603","1105N","Military Personnel, Marine Corps","NAVY","05","Permanent Change of Station Travel","160","Temporary Lodging Expense","Y","Y","U","FY.2016.Base.Enacted","5734"
"604","1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","170","Apprehension of Military Deserters","Y","Y","U","FY.2016.Base.Enacted","505"
"605","1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","175","Interest on Uniformed Services Savings","Y","Y","U","FY.2016.Base.Enacted","19"
"606","1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","180","Death Gratuities","Y","Y","U","FY.2016.Base.Enacted","13700"
"607","1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","185","Unemployment Benefits","Y","Y","U","FY.2016.Base.Enacted","82598"
"608","1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","195","Education Benefits","Y","Y","U","FY.2016.Base.Enacted","9655"
"609","1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","200","Adoption Expenses","Y","Y","U","FY.2016.Base.Enacted","84"
"610","1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","210","Transportation Subsidy","Y","Y","U","FY.2016.Base.Enacted","1621"
"611","1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","215","Partial Dislocation Allowance","Y","Y","U","FY.2016.Base.Enacted","67"
"612","1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","216","SGLI Extra Hazard Payments","Y","Y","U","FY.2016.Base.Enacted","0"
"613","1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","218","Junior ROTC","Y","Y","U","FY.2016.Base.Enacted","3526"
"614","1105N","Military Personnel, Marine Corps","NAVY",NA,"Less Reimbursables",NA,"Less Reimbursables","N","N","U","FY.2016.Base.Enacted","-28730"
"615","1001N","MEDICARE - Retiree Health Care Contribution, MC","NAVY","01","Health Care Contribution - Officers","300","Marine Corps","Y","Y","U","FY.2016.Base.Enacted","82904"
"616","1001N","MEDICARE - Retiree Health Care Contribution, MC","NAVY","02","Health Care Contribution - Enlisted","300","Marine Corps","Y","Y","U","FY.2016.Base.Enacted","643292"
"617","1405N","Reserve Personnel, Navy","NAVY","01","Reserve Component Training and Support","010","Pay Group A Training  (15 Days & Drills 24/48)","Y","Y","U","FY.2016.Base.Enacted","603067"
"618","1405N","Reserve Personnel, Navy","NAVY","01","Reserve Component Training and Support","020","Pay Group B Training  (Backfill For Active Duty)","Y","Y","U","FY.2016.Base.Enacted","7141"
"619","1405N","Reserve Personnel, Navy","NAVY","01","Reserve Component Training and Support","030","Pay Group F Training  (Recruits)","Y","Y","U","FY.2016.Base.Enacted","62500"
"620","1405N","Reserve Personnel, Navy","NAVY","01","Reserve Component Training and Support","060","Mobilization Training","Y","Y","U","FY.2016.Base.Enacted","8816"
"621","1405N","Reserve Personnel, Navy","NAVY","01","Reserve Component Training and Support","070","School Training","Y","Y","U","FY.2016.Base.Enacted","45974"
"622","1405N","Reserve Personnel, Navy","NAVY","01","Reserve Component Training and Support","080","Special Training","Y","Y","U","FY.2016.Base.Enacted","103503"
"623","1405N","Reserve Personnel, Navy","NAVY","01","Reserve Component Training and Support","090","Administration and Support","Y","Y","U","FY.2016.Base.Enacted","983946"
"624","1405N","Reserve Personnel, Navy","NAVY","01","Reserve Component Training and Support","100","Education Benefits","Y","Y","U","FY.2016.Base.Enacted","107"
"625","1405N","Reserve Personnel, Navy","NAVY","01","Reserve Component Training and Support","120","Health Profession Scholarship","Y","Y","U","FY.2016.Base.Enacted","51837"
"626","1002N","MEDICARE - Retiree Health Care Contribution, N RES","NAVY","01","Health Care Contribution - Reserve Component","300","Reserve Personnel, Navy","Y","Y","U","FY.2016.Base.Enacted","115519"
"627","1108N","Reserve Personnel, Marine Corps","NAVY","01","Reserve Component Training and Support","010","Pay Group A Training  (15 Days & Drills 24/48)","Y","Y","U","FY.2016.Base.Enacted","269298"
"628","1108N","Reserve Personnel, Marine Corps","NAVY","01","Reserve Component Training and Support","020","Pay Group B Training  (Backfill For Active Duty)","Y","Y","U","FY.2016.Base.Enacted","36573"
"629","1108N","Reserve Personnel, Marine Corps","NAVY","01","Reserve Component Training and Support","030","Pay Group F Training  (Recruits)","Y","Y","U","FY.2016.Base.Enacted","108034"
"630","1108N","Reserve Personnel, Marine Corps","NAVY","01","Reserve Component Training and Support","060","Mobilization Training","Y","Y","U","FY.2016.Base.Enacted","2529"
"631","1108N","Reserve Personnel, Marine Corps","NAVY","01","Reserve Component Training and Support","070","School Training","Y","Y","U","FY.2016.Base.Enacted","24160"
"632","1108N","Reserve Personnel, Marine Corps","NAVY","01","Reserve Component Training and Support","080","Special Training","Y","Y","U","FY.2016.Base.Enacted","26272"
"633","1108N","Reserve Personnel, Marine Corps","NAVY","01","Reserve Component Training and Support","090","Administration and Support","Y","Y","U","FY.2016.Base.Enacted","229388"
"634","1108N","Reserve Personnel, Marine Corps","NAVY","01","Reserve Component Training and Support","095","Platoon Leader Class","Y","Y","U","FY.2016.Base.Enacted","5585"
"635","1108N","Reserve Personnel, Marine Corps","NAVY","01","Reserve Component Training and Support","100","Education Benefits","Y","Y","U","FY.2016.Base.Enacted","642"
"636","1003N","MEDICARE - Retiree Health Care Contribution, MC RES","NAVY","01","Health Care Contribution - Reserve Component","300","Reserve Personnel, Marine Corps","Y","Y","U","FY.2016.Base.Enacted","67797"
"637","3500F","Military Personnel, Air Force","AF","01","Pay and Allowances of Officers","005","Basic Pay","Y","Y","U","FY.2016.Base.Enacted","4626288"
"638","3500F","Military Personnel, Air Force","AF","01","Pay and Allowances of Officers","010","Retired Pay Accrual","Y","Y","U","FY.2016.Base.Enacted","1476126"
"639","3500F","Military Personnel, Air Force","AF","01","Pay and Allowances of Officers","025","Basic Allowance for Housing","Y","Y","U","FY.2016.Base.Enacted","1473371"
"640","3500F","Military Personnel, Air Force","AF","01","Pay and Allowances of Officers","030","Basic Allowance for Subsistence","Y","Y","U","FY.2016.Base.Enacted","198685"
"641","3500F","Military Personnel, Air Force","AF","01","Pay and Allowances of Officers","035","Incentive Pays","Y","Y","U","FY.2016.Base.Enacted","235054"
"642","3500F","Military Personnel, Air Force","AF","01","Pay and Allowances of Officers","040","Special Pays","Y","Y","U","FY.2016.Base.Enacted","351827"
"643","3500F","Military Personnel, Air Force","AF","01","Pay and Allowances of Officers","045","Allowances","Y","Y","U","FY.2016.Base.Enacted","102298"
"644","3500F","Military Personnel, Air Force","AF","01","Pay and Allowances of Officers","050","Separation Pay","Y","Y","U","FY.2016.Base.Enacted","57589"
"645","3500F","Military Personnel, Air Force","AF","01","Pay and Allowances of Officers","055","Social Security Tax","Y","Y","U","FY.2016.Base.Enacted","363907"
"646","3500F","Military Personnel, Air Force","AF","02","Pay and Allowances of Enlisted","060","Basic Pay","Y","Y","U","FY.2016.Base.Enacted","8656026"
"647","3500F","Military Personnel, Air Force","AF","02","Pay and Allowances of Enlisted","065","Retired Pay Accrual","Y","Y","U","FY.2016.Base.Enacted","2635170"
"648","3500F","Military Personnel, Air Force","AF","02","Pay and Allowances of Enlisted","080","Basic Allowance for Housing","Y","Y","U","FY.2016.Base.Enacted","3542011"
"649","3500F","Military Personnel, Air Force","AF","02","Pay and Allowances of Enlisted","085","Incentive Pays","Y","Y","U","FY.2016.Base.Enacted","36123"
"650","3500F","Military Personnel, Air Force","AF","02","Pay and Allowances of Enlisted","090","Special Pays","Y","Y","U","FY.2016.Base.Enacted","298002"
"651","3500F","Military Personnel, Air Force","AF","02","Pay and Allowances of Enlisted","095","Allowances","Y","Y","U","FY.2016.Base.Enacted","541592"
"652","3500F","Military Personnel, Air Force","AF","02","Pay and Allowances of Enlisted","100","Separation Pay","Y","Y","U","FY.2016.Base.Enacted","126959"
"653","3500F","Military Personnel, Air Force","AF","02","Pay and Allowances of Enlisted","105","Social Security Tax","Y","Y","U","FY.2016.Base.Enacted","663579"
"654","3500F","Military Personnel, Air Force","AF","03","Pay And Allowances Of Cadets","110","Academy Cadets","Y","Y","U","FY.2016.Base.Enacted","71242"
"655","3500F","Military Personnel, Air Force","AF","04","Subsistence of Enlisted Personnel","115","Basic Allowance for Subsistence","Y","Y","U","FY.2016.Base.Enacted","960519"
"656","3500F","Military Personnel, Air Force","AF","04","Subsistence of Enlisted Personnel","120","Subsistence-In-Kind","Y","Y","U","FY.2016.Base.Enacted","134055"
"657","3500F","Military Personnel, Air Force","AF","04","Subsistence of Enlisted Personnel","121","Family Subsistence Supplemental Allowance","Y","Y","U","FY.2016.Base.Enacted","3"
"658","3500F","Military Personnel, Air Force","AF","05","Permanent Change of Station Travel","125","Accession Travel","Y","Y","U","FY.2016.Base.Enacted","94021"
"659","3500F","Military Personnel, Air Force","AF","05","Permanent Change of Station Travel","130","Training Travel","Y","Y","U","FY.2016.Base.Enacted","71403"
"660","3500F","Military Personnel, Air Force","AF","05","Permanent Change of Station Travel","135","Operational Travel","Y","Y","U","FY.2016.Base.Enacted","276627"
"661","3500F","Military Personnel, Air Force","AF","05","Permanent Change of Station Travel","140","Rotational Travel","Y","Y","U","FY.2016.Base.Enacted","578894"
"662","3500F","Military Personnel, Air Force","AF","05","Permanent Change of Station Travel","145","Separation Travel","Y","Y","U","FY.2016.Base.Enacted","145515"
"663","3500F","Military Personnel, Air Force","AF","05","Permanent Change of Station Travel","150","Travel of Organized Units","Y","Y","U","FY.2016.Base.Enacted","8919"
"664","3500F","Military Personnel, Air Force","AF","05","Permanent Change of Station Travel","155","Non-Temporary Storage","Y","Y","U","FY.2016.Base.Enacted","23607"
"665","3500F","Military Personnel, Air Force","AF","05","Permanent Change of Station Travel","160","Temporary Lodging Expense","Y","Y","U","FY.2016.Base.Enacted","35560"
"666","3500F","Military Personnel, Air Force","AF","06","Other Military Personnel Costs","170","Apprehension of Military Deserters","Y","Y","U","FY.2016.Base.Enacted","18"
"667","3500F","Military Personnel, Air Force","AF","06","Other Military Personnel Costs","175","Interest on Uniformed Services Savings","Y","Y","U","FY.2016.Base.Enacted","2691"
"668","3500F","Military Personnel, Air Force","AF","06","Other Military Personnel Costs","180","Death Gratuities","Y","Y","U","FY.2016.Base.Enacted","15100"
"669","3500F","Military Personnel, Air Force","AF","06","Other Military Personnel Costs","185","Unemployment Benefits","Y","Y","U","FY.2016.Base.Enacted","52962"
"670","3500F","Military Personnel, Air Force","AF","06","Other Military Personnel Costs","195","Education Benefits","Y","Y","U","FY.2016.Base.Enacted","185"
"671","3500F","Military Personnel, Air Force","AF","06","Other Military Personnel Costs","200","Adoption Expenses","Y","Y","U","FY.2016.Base.Enacted","305"
"672","3500F","Military Personnel, Air Force","AF","06","Other Military Personnel Costs","210","Transportation Subsidy","Y","Y","U","FY.2016.Base.Enacted","2262"
"673","3500F","Military Personnel, Air Force","AF","06","Other Military Personnel Costs","215","Partial Dislocation Allowance","Y","Y","U","FY.2016.Base.Enacted","569"
"674","3500F","Military Personnel, Air Force","AF","06","Other Military Personnel Costs","216","SGLI Extra Hazard Payments","Y","Y","U","FY.2016.Base.Enacted","0"
"675","3500F","Military Personnel, Air Force","AF","06","Other Military Personnel Costs","217","Reserve Officers Training Corps (ROTC)","Y","Y","U","FY.2016.Base.Enacted","25376"
"676","3500F","Military Personnel, Air Force","AF","06","Other Military Personnel Costs","218","Junior ROTC","Y","Y","U","FY.2016.Base.Enacted","13338"
"677","3500F","Military Personnel, Air Force","AF",NA,"Less Reimbursables",NA,"Less Reimbursables","N","N","U","FY.2016.Base.Enacted","-451006"
"678","1007F","MEDICARE - Retiree Health Care Contribution, AF","AF","01","Health Care Contribution - Officers","300","Air Force","Y","Y","U","FY.2016.Base.Enacted","245971"
"679","1007F","MEDICARE - Retiree Health Care Contribution, AF","AF","02","Health Care Contribution - Enlisted","300","Air Force","Y","Y","U","FY.2016.Base.Enacted","993122"
"680","3700F","Reserve Personnel, Air Force","AF","01","Reserve Component Training and Support","010","Pay Group A Training  (15 Days & Drills 24/48)","Y","Y","U","FY.2016.Base.Enacted","656936"
"681","3700F","Reserve Personnel, Air Force","AF","01","Reserve Component Training and Support","020","Pay Group B Training  (Backfill For Active Duty)","Y","Y","U","FY.2016.Base.Enacted","109227"
"682","3700F","Reserve Personnel, Air Force","AF","01","Reserve Component Training and Support","030","Pay Group F Training  (Recruits)","Y","Y","U","FY.2016.Base.Enacted","56152"
"683","3700F","Reserve Personnel, Air Force","AF","01","Reserve Component Training and Support","040","Pay Group P Training  (Pipeline Recruits)","Y","Y","U","FY.2016.Base.Enacted","1830"
"684","3700F","Reserve Personnel, Air Force","AF","01","Reserve Component Training and Support","060","Mobilization Training","Y","Y","U","FY.2016.Base.Enacted","576"
"685","3700F","Reserve Personnel, Air Force","AF","01","Reserve Component Training and Support","070","School Training","Y","Y","U","FY.2016.Base.Enacted","141835"
