"","SourceFiscalYear","AccountDSI","Account","MilDeptDW","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","StateCountry","StateCountryTitle","FacilityCategoryTitle","LocationTitle","ConstructionProjectTitle","Classified","FiscalYear","BudgetMetric","OriginType","EnactedTotal","PBtotal","PBtype"
"1554",2014,"051201A","051201","A","FY 2005 BRAC - A","ARMY","01","FY2005 BRAC","ZU","WORLDWIDE UNSPECIFIED","Base Realignment & Closure Account V","Unspecified Worldwide Locations","Usa-200: Rc Transformation In Wi","U","2012","AuthForAppnAmount","Base",NA,NA,86
"1555",2014,"051201A","051201","A","FY 2005 BRAC - A","ARMY","01","FY2005 BRAC","ZU","WORLDWIDE UNSPECIFIED","Base Realignment & Closure Account V","Unspecified Worldwide Locations","USA-63: U.S. Army Garrison (Selfridge)","U","2012","AuthForAppnAmount","Base",NA,NA,1609
"1556",2014,"051201A","051201","A","FY 2005 BRAC - A","ARMY","01","FY2005 BRAC","ZU","WORLDWIDE UNSPECIFIED","Base Realignment & Closure Account V","Unspecified Worldwide Locations","USA-212: USAR Cmd & Cntrl - New England","U","2012","AuthForAppnAmount","Base",NA,NA,24
"1557",2014,"051201A","051201","A","FY 2005 BRAC - A","ARMY","01","FY2005 BRAC","ZU","WORLDWIDE UNSPECIFIED","Base Realignment & Closure Account V","Unspecified Worldwide Locations","USA-167: USAR Command and Control - NE","U","2012","AuthForAppnAmount","Base",NA,NA,473
"1558",2014,"051201A","051201","A","FY 2005 BRAC - A","ARMY","01","FY2005 BRAC","ZU","WORLDWIDE UNSPECIFIED","Base Realignment & Closure Account V","Unspecified Worldwide Locations","USA-166: USAR Command and Control - NW","U","2012","AuthForAppnAmount","Base",NA,NA,1000
"1559",2014,"051201A","051201","A","FY 2005 BRAC - A","ARMY","01","FY2005 BRAC","ZU","WORLDWIDE UNSPECIFIED","Base Realignment & Closure Account V","Unspecified Worldwide Locations","USA-131: USAR Command and Control -SE","U","2012","AuthForAppnAmount","Base",NA,NA,250
"1560",2014,"051201A","051201","A","FY 2005 BRAC - A","ARMY","01","FY2005 BRAC","ZU","WORLDWIDE UNSPECIFIED","Base Realignment & Closure Account V","Unspecified Worldwide Locations","USA-168: USAR Command and Control - SW","U","2012","AuthForAppnAmount","Base",NA,NA,250
"1561",2014,"051201A","051201","A","FY 2005 BRAC - A","ARMY","01","FY2005 BRAC","ZU","WORLDWIDE UNSPECIFIED","Base Realignment & Closure Account V","Unspecified Worldwide Locations","H&Sa-69: Misc Army Leased Locations","U","2012","AuthForAppnAmount","Base",NA,NA,111
"1562",2014,"051201A","051201","A","FY 2005 BRAC - A","ARMY","01","FY2005 BRAC","ZU","WORLDWIDE UNSPECIFIED","Base Realignment & Closure Account V","Unspecified Worldwide Locations","H&Sa-53: Misc Dod/Def Ags/Foa Leased Locs","U","2012","AuthForAppnAmount","Base",NA,NA,200
"1563",2014,"051201A","051201","A","FY 2005 BRAC - A","ARMY","01","FY2005 BRAC","ZU","WORLDWIDE UNSPECIFIED","Base Realignment & Closure Account V","Unspecified Worldwide Locations","H&Sa-92: Army Hqs & Other Foas","U","2012","AuthForAppnAmount","Base",NA,NA,4
"1564",2014,"051201A","051201","A","FY 2005 BRAC - A","ARMY","01","FY2005 BRAC","ZU","WORLDWIDE UNSPECIFIED","Base Realignment & Closure Account V","Unspecified Worldwide Locations","Ind-112: River Bank Army Ammo Plant, Ca","U","2012","AuthForAppnAmount","Base",NA,NA,25430
"1565",2014,"051201A","051201","A","FY 2005 BRAC - A","ARMY","01","FY2005 BRAC","ZU","WORLDWIDE UNSPECIFIED","Base Realignment & Closure Account V","Unspecified Worldwide Locations","Ind-119: Newport Chemical Depot, In","U","2012","AuthForAppnAmount","Base",NA,NA,1032
"1566",2014,"051201A","051201","A","FY 2005 BRAC - A","ARMY","01","FY2005 BRAC","ZU","WORLDWIDE UNSPECIFIED","Base Realignment & Closure Account V","Unspecified Worldwide Locations","Ind-106: Kansas Army Ammunition Plant, Ks","U","2012","AuthForAppnAmount","Base",NA,NA,50990
"1567",2014,"051201A","051201","A","FY 2005 BRAC - A","ARMY","01","FY2005 BRAC","ZU","WORLDWIDE UNSPECIFIED","Base Realignment & Closure Account V","Unspecified Worldwide Locations","Ind-120: Umatilla Chemical Depot, Or","U","2012","AuthForAppnAmount","Base",NA,NA,34228
"1568",2014,"051201A","051201","A","FY 2005 BRAC - A","ARMY","01","FY2005 BRAC","ZU","WORLDWIDE UNSPECIFIED","Base Realignment & Closure Account V","Unspecified Worldwide Locations","Ind-122: Lone Star Army Ammo Plant, Tx","U","2012","AuthForAppnAmount","Base",NA,NA,5170
"1569",2014,"051201A","051201","A","FY 2005 BRAC - A","ARMY","01","FY2005 BRAC","ZU","WORLDWIDE UNSPECIFIED","Base Realignment & Closure Account V","Unspecified Worldwide Locations","Med-2: Walter Reed Nmmc, Bethesda, Md","U","2012","AuthForAppnAmount","Base",NA,NA,18063
"1570",2014,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","AZ","ARIZONA","Aircraft Maintenance Facilities","Yuma","Aircraft Maintenance Hangar","U","2012","AuthForAppnAmount","Base",NA,NA,39515
"1571",2014,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","AZ","ARIZONA","Aircraft Maintenance Facilities","Yuma","Double Aircraft Maintenance Hangar","U","2012","AuthForAppnAmount","Base",NA,NA,81897
"1572",2014,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","AZ","ARIZONA","Aviation Navigation & Traffic Aids Fac Other Than Bld.","Yuma","JSF Auxiliary Landing Field","U","2012","AuthForAppnAmount","Base",NA,NA,41373
"1573",2014,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","CA","CALIFORNIA","Tank and Automotive Maintenance Facilities","Barstow","Dip Tank Cleaning Facility","U","2012","AuthForAppnAmount","Base",NA,NA,8590
"1574",2014,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","CA","CALIFORNIA","Install & Org Covered Storage","Camp Pendleton, California","Individual Equipment Issue Warehouse","U","2012","AuthForAppnAmount","Base",NA,NA,16411
"1575",2014,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","CA","CALIFORNIA","Roads","Camp Pendleton, California","Intersection Bridge and Improvements","U","2012","AuthForAppnAmount","Base",NA,NA,12476
"1576",2014,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","CA","CALIFORNIA","Potable Water Distribution System","Camp Pendleton, California","New Potable Water Conveyance","U","2012","AuthForAppnAmount","Base",NA,NA,113091
"1577",2014,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","CA","CALIFORNIA","Sewage & Industrial Waste Treatment & Disposal","Camp Pendleton, California","North Area Waste Water Conveyance","U","2012","AuthForAppnAmount","Base",NA,NA,78271
"1578",2014,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","CA","CALIFORNIA","Install & Org Covered Storage","Camp Pendleton, California","Armory, 1st Marine Division","U","2012","AuthForAppnAmount","Base",NA,NA,12606
"1579",2014,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","CA","CALIFORNIA","Impact, Maneuver, and Training Areas","Camp Pendleton, California","Infantry Squad Defense Range","U","2012","AuthForAppnAmount","Base",NA,NA,29187
"1580",2014,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","CA","CALIFORNIA","Aircraft Maintenance Facilities","Camp Pendleton, California","MV-22 Double Hangar Replacement","U","2012","AuthForAppnAmount","Base",NA,NA,48345
"1581",2014,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","CA","CALIFORNIA","Airfield Aprons","Camp Pendleton, California","MV-22 Aviation Pavement","U","2012","AuthForAppnAmount","Base",NA,NA,18530
"1582",2014,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","CA","CALIFORNIA","Aircraft Fuel Dispensing Facilities","Camp Pendleton, California","MV-22 Aviation Fuel Storage","U","2012","AuthForAppnAmount","Base",NA,NA,6163
"1583",2014,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","CA","CALIFORNIA","Simulation Facilities","Point Mugu","E-2D Aircrew Training Facility","U","2012","AuthForAppnAmount","Base",NA,NA,15377
"1584",2014,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","CA","CALIFORNIA","Operational Support Buildings","Twentynine Palms, California","Tracked Vehicle Maintenance Cover","U","2012","AuthForAppnAmount","Base",NA,NA,15882
"1585",2014,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","CA","CALIFORNIA","Indoor Athletic Fac","Twentynine Palms, California","Multi-Use Operational Fitness Area","U","2012","AuthForAppnAmount","Base",NA,NA,18819
"1586",2014,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","CA","CALIFORNIA","Family & Child Support Facilities","Twentynine Palms, California","Child Development Center","U","2012","AuthForAppnAmount","Base",NA,NA,23743
"1587",2014,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","CA","CALIFORNIA","Indoor Entertainment Fac","Twentynine Palms, California","Multi-Purpose Building - Addition","U","2012","AuthForAppnAmount","Base",NA,NA,16138
"1588",2014,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","CA","CALIFORNIA","Land Purchase, Condemnation, Donation or Transfer","Twentynine Palms, California","Land Expansion","U","2012","AuthForAppnAmount","Base",NA,NA,8665
"1589",2014,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","CA","CALIFORNIA","Indoor Athletic Fac","Coronado","Fitness Center North Island","U","2012","AuthForAppnAmount","Base",NA,NA,46763
"1590",2014,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","CA","CALIFORNIA","Aircraft Maintenance Facilities","Coronado","Rotary Aircraft Depot Maint Fac (North Is.)","U","2012","AuthForAppnAmount","Base",NA,NA,61672
"1591",2014,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","FL","FLORIDA","Training Buildings","Jacksonville","BAMS UAS Operator Training Facility","U","2012","AuthForAppnAmount","Base",NA,NA,4482
"1592",2014,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","FL","FLORIDA","Simulation Facilities","Jacksonville","P-8A Training Facility","U","2012","AuthForAppnAmount","Base",NA,NA,25985
"1593",2014,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","FL","FLORIDA","Aircraft Maintenance Facilities","Jacksonville","P-8A Hangar Upgrades","U","2012","AuthForAppnAmount","Base",NA,NA,6085
"1594",2014,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","FL","FLORIDA","Roads","Mayport","Massey Avenue Corridor Improvements","U","2012","AuthForAppnAmount","Base",NA,NA,14998
"1595",2014,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","FL","FLORIDA","Training Buildings","Whiting Field","Applied Instruction Facilities, EOD Course","U","2012","AuthForAppnAmount","Base",NA,NA,20620
"1596",2014,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","GA","GEORGIA","Harbor Protection Facilities","Kings Bay","Crab Island Security Enclave","U","2012","AuthForAppnAmount","Base",NA,NA,52913
"1597",2014,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","GA","GEORGIA","Harbor Protection Facilities","Kings Bay","WRA Land/Water Interface","U","2012","AuthForAppnAmount","Base",NA,NA,33150
"1598",2014,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","HI","HAWAII","Electric Power Transmission & Dist Lines","Barking Sands","North Loop Electrical Replacement","U","2012","AuthForAppnAmount","Base",NA,NA,9679
"1599",2014,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","HI","HAWAII","Airfield Operational Buildings","Kaneohe Bay","MCAS Operations Complex","U","2012","AuthForAppnAmount","Base",NA,NA,57704
"1600",2014,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","HI","HAWAII","Operational Support Buildings","Pearl Harbor","Navy Information Operations Command FES Fac","U","2012","AuthForAppnAmount","Base",NA,NA,7492
"1601",2014,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","IL","ILLINOIS","Heat Source","Great Lakes","Decentralize Steam System","U","2012","AuthForAppnAmount","Base",NA,NA,91042
"1602",2014,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","MD","MARYLAND","Electric Power Source","Indian Head","Decentralize Steam System","U","2012","AuthForAppnAmount","Base",NA,NA,67779
"1603",2014,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","MD","MARYLAND","Aircraft Rdt&E Buildings","Patuxent River","Aircraft Prototype Facility Phase 2","U","2012","AuthForAppnAmount","Base",NA,NA,45844
"1604",2014,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","NC","NORTH CAROLINA","Impact, Maneuver, and Training Areas","Camp Lejeune, North Carolina","Squad Battle Course","U","2012","AuthForAppnAmount","Base",NA,NA,16821
"1605",2014,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","NC","NORTH CAROLINA","Tank and Automotive Maintenance Facilities","Camp Lejeune, North Carolina","2nd Combat Engineer Maintenance/Ops Complex","U","2012","AuthForAppnAmount","Base",NA,NA,75214
"1606",2014,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","NC","NORTH CAROLINA","Enlisted Personnel Unaccompanied Personnel Housing","Camp Lejeune, North Carolina","Bachelor Enlisted Quarters - Wallace Creek","U","2012","AuthForAppnAmount","Base",NA,NA,27439
"1607",2014,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","NC","NORTH CAROLINA","Roads","Camp Lejeune, North Carolina","Base Entry Point and Road","U","2012","AuthForAppnAmount","Base",NA,NA,81008
"1608",2014,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","NC","NORTH CAROLINA","Aircraft Maintenance Facilities","Cherry Point Marine Corps Air Station","H-1 Helicopter Gearbox Repair & Test Facility","U","2012","AuthForAppnAmount","Base",NA,NA,17760
"1609",2014,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","NC","NORTH CAROLINA","Airfield Aprons","New River","Aircraft Maintenance Hangar and Apron","U","2012","AuthForAppnAmount","Base",NA,NA,69511
"1610",2014,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","NC","NORTH CAROLINA","Airfield Aprons","New River","Ordnance Loading Area Additiion","U","2012","AuthForAppnAmount","Base",NA,NA,9419
"1611",2014,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","SC","SOUTH CAROLINA","Airfield Aprons","Beaufort","Vertical Landing Pads","U","2012","AuthForAppnAmount","Base",NA,NA,21096
"1612",2014,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","VA","VIRGINIA","Heat Source","Norfolk","Decentralize Steam System","U","2012","AuthForAppnAmount","Base",NA,NA,26924
"1613",2014,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","VA","VIRGINIA","Enlisted Personnel Unaccompanied Personnel Housing","Norfolk","Bachelor Quarters, Homeport Ashore","U","2012","AuthForAppnAmount","Base",NA,NA,81304
"1614",2014,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","VA","VIRGINIA","Ships and Spares Maintenance Facilities","Portsmouth","Controlled Industrial Facility","U","2012","AuthForAppnAmount","Base",NA,NA,74864
"1615",2014,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","VA","VIRGINIA","Enlisted Personnel Unaccompanied Personnel Housing","Quantico","Bachelor Enlisted Quarters","U","2012","AuthForAppnAmount","Base",NA,NA,31374
"1616",2014,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","VA","VIRGINIA","Unaccom Personnel Housing Mess Fac","Quantico","Enlisted Dining Facility","U","2012","AuthForAppnAmount","Base",NA,NA,5034
"1617",2014,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","VA","VIRGINIA","Sewage & Industrial Waste Treatment & Disposal","Quantico","Waste Water Treatment Plant - UPSHUR","U","2012","AuthForAppnAmount","Base",NA,NA,9969
"1618",2014,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","VA","VIRGINIA","Officers Unaccom Personnel Housing","Quantico","The Basic School Student Quarters - Phase 6","U","2012","AuthForAppnAmount","Base",NA,NA,28488
"1619",2014,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","VA","VIRGINIA","Roads","Quantico","Realign Purvis Rd/Russell Rd Intersection","U","2012","AuthForAppnAmount","Base",NA,NA,6442
"1620",2014,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","VA","VIRGINIA","Admin Bldgs","Quantico","Embassy Security Group Facilities","U","2012","AuthForAppnAmount","Base",NA,NA,27079
"1621",2014,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","VA","VIRGINIA","Training Buildings","Quantico","Academic Instruction Facility","U","2012","AuthForAppnAmount","Base",NA,NA,75304
"1622",2014,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","WA","WASHINGTON","Ships and Spares Maintenance Facilities","Bremerton","Integrated Dry Dock Water Treatment Fac Ph1","U","2012","AuthForAppnAmount","Base",NA,NA,13341
"1623",2014,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","WA","WASHINGTON","Operational Support Buildings","Bremerton","EHW Security Force Facility (Bangor)","U","2012","AuthForAppnAmount","Base",NA,NA,25948
"1624",2014,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","WA","WASHINGTON","Misc Utilities-Square Feet","Bremerton","WRA Vehicle Barriers (Bangor)","U","2012","AuthForAppnAmount","Base",NA,NA,17894
"1625",2014,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","WA","WASHINGTON","Piers and Wharfs","Kitsap","Explosives Handling Wharf #2 (INC)","U","2012","AuthForAppnAmount","Base",NA,NA,78002
"1626",2014,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","BI","BAHRAIN ISLAND","Enlisted Personnel Unaccompanied Personnel Housing","SW Asia","Bachelor Quarters, Phase 3","U","2012","AuthForAppnAmount","Base",NA,NA,55010
"1627",2014,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","BI","BAHRAIN ISLAND","Operational Support Buildings","SW Asia","Waterfront Development Phase 4","U","2012","AuthForAppnAmount","Base",NA,NA,0
"1628",2014,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","DG","DIEGO GARCIA","Potable Water Supply, Treatment & Storage","Diego Garcia","Potable Water Plant Modernization","U","2012","AuthForAppnAmount","Base",NA,NA,35444
"1629",2014,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","DJ","DJIBOUTI","Airfield Aprons","Camp Lemonier, Djibouti","Aircraft Logistics Apron","U","2012","AuthForAppnAmount","Base",NA,NA,35170
"1630",2014,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","DJ","DJIBOUTI","Enlisted Personnel Unaccompanied Personnel Housing","Camp Lemonier, Djibouti","Bachelor Quarters","U","2012","AuthForAppnAmount","Base",NA,NA,43529
"1631",2014,"1205N","1205","N","Mil Con, Navy","NAVY","01","MAJOR CONST","DJ","DJIBOUTI","Airfield Taxiways","Camp Lemonier, Djibouti","Taxiway Enhancement","U","2012","AuthForAppnAmount","Base",NA,NA,10800
"1632",2014,"1205N","1205","N","Mil Con, Navy","NAVY","02","MINOR CONST","ZU","WORLDWIDE UNSPECIFIED","General","Unspecified Worldwide Locations","Unspecified Minor Construction","U","2012","AuthForAppnAmount","Base",NA,NA,21495
"1633",2014,"1205N","1205","N","Mil Con, Navy","NAVY","03","Planning & Design","ZU","WORLDWIDE UNSPECIFIED","General","Unspecified Worldwide Locations","MCON Design Funds","U","2012","AuthForAppnAmount","Base",NA,NA,69362
"1634",2014,"1205N","1205","N","Mil Con, Navy","NAVY","05","MAJ REP CONST","ZU","WORLDWIDE UNSPECIFIED","General","Various Worldwide Locations","Foreign Currency Fluctuation, CMA","U","2012","AuthForAppnAmount","Base",NA,NA,0
"1635",2014,"051002N","051002","N","BRAC - Navy","NAVY","04","BASE CLOSURE IV","ZU","WORLDWIDE UNSPECIFIED","Base Realignment & Closure Account IV","Base Realignment & Closure, Navy","Base Realignment & Closure","U","2012","AuthForAppnAmount","Base",NA,NA,223830
"1636",2014,"1235N","1235","N","Mil Con, Navy Res","NAVY","01","MAJOR CONST","PA","PENNSYLVANIA","Training Buildings","Pittsburgh","Armed Forces Reserve Center - Pittsburgh","U","2012","AuthForAppnAmount","Base",NA,NA,13759
"1637",2014,"1235N","1235","N","Mil Con, Navy Res","NAVY","01","MAJOR CONST","TN","TENNESSEE","Training Buildings","Memphis","Reserve Training Center - Memphis","U","2012","AuthForAppnAmount","Base",NA,NA,7949
"1638",2014,"1235N","1235","N","Mil Con, Navy Res","NAVY","02","MINOR CONST","ZU","WORLDWIDE UNSPECIFIED","General","Unspecified Worldwide Locations","MCNR Unspecified Minor Construction","U","2012","AuthForAppnAmount","Base",NA,NA,2000
"1639",2014,"1235N","1235","N","Mil Con, Navy Res","NAVY","03","Planning & Design","ZU","WORLDWIDE UNSPECIFIED","General","Unspecified Worldwide Locations","USMCR Planning and Design","U","2012","AuthForAppnAmount","Base",NA,NA,1116
"1640",2014,"1235N","1235","N","Mil Con, Navy Res","NAVY","03","Planning & Design","ZU","WORLDWIDE UNSPECIFIED","General","Unspecified Worldwide Locations","MCNR Planning & Design","U","2012","AuthForAppnAmount","Base",NA,NA,1475
"1641",2014,"0730N","0730","N","Fam Hsg Con, N/MC","NAVY","03","CONSTRUCTION IMPROVEMENTS","ZU","WORLDWIDE UNSPECIFIED","FH Post Acquisition Construction Improvements","Unspecified Worldwide Locations","Improvements","U","2012","AuthForAppnAmount","Base",NA,NA,112123
"1642",2014,"0730N","0730","N","Fam Hsg Con, N/MC","NAVY","04","PLANNING & DESIGN","ZU","WORLDWIDE UNSPECIFIED","Family Housing P&D","Unspecified Worldwide Locations","Design","U","2012","AuthForAppnAmount","Base",NA,NA,3199
"1643",2014,"0735N","0735","N","Fam Hsg O&M, N/MC","NAVY","05","UTILITIES","ZU","WORLDWIDE UNSPECIFIED","FH Utilities Account","Unspecified Worldwide Locations","Utilities Account","U","2012","AuthForAppnAmount","Base",NA,NA,70226
"1644",2014,"0735N","0735","N","Fam Hsg O&M, N/MC","NAVY","06","Operation","ZU","WORLDWIDE UNSPECIFIED","FH Furnishings Account","Unspecified Worldwide Locations","Furnishings Account","U","2012","AuthForAppnAmount","Base",NA,NA,15239
"1645",2014,"0735N","0735","N","Fam Hsg O&M, N/MC","NAVY","06","Operation","ZU","WORLDWIDE UNSPECIFIED","FH Management Account","Unspecified Worldwide Locations","Management Account","U","2012","AuthForAppnAmount","Base",NA,NA,52885
"1646",2014,"0735N","0735","N","Fam Hsg O&M, N/MC","NAVY","06","Operation","ZU","WORLDWIDE UNSPECIFIED","FH Miscellaneous Account","Unspecified Worldwide Locations","Miscellaneous Account","U","2012","AuthForAppnAmount","Base",NA,NA,181
"1647",2014,"0735N","0735","N","Fam Hsg O&M, N/MC","NAVY","06","Operation","ZU","WORLDWIDE UNSPECIFIED","FH Services Account","Unspecified Worldwide Locations","Services Account","U","2012","AuthForAppnAmount","Base",NA,NA,13525
"1648",2014,"0735N","0735","N","Fam Hsg O&M, N/MC","NAVY","07","LEASING","ZU","WORLDWIDE UNSPECIFIED","FH Leasing Account","Unspecified Worldwide Locations","Leasing","U","2012","AuthForAppnAmount","Base",NA,NA,75997
"1649",2014,"0735N","0735","N","Fam Hsg O&M, N/MC","NAVY","08","Maintenance","ZU","WORLDWIDE UNSPECIFIED","FH Maintenance Of Real Property","Unspecified Worldwide Locations","Judgement Fund Reimbursements","U","2012","AuthForAppnAmount","Base",NA,NA,3
"1650",2014,"0735N","0735","N","Fam Hsg O&M, N/MC","NAVY","08","Maintenance","ZU","WORLDWIDE UNSPECIFIED","FH Maintenance Of Real Property","Unspecified Worldwide Locations","Maintenance of Real Property","U","2012","AuthForAppnAmount","Base",NA,NA,120884
"1651",2014,"0735N","0735","N","Fam Hsg O&M, N/MC","NAVY","12","HOUSING PVT SUPPORT","ZU","WORLDWIDE UNSPECIFIED","FH Privatization Support","Unspecified Worldwide Locations","Privatization Support Costs","U","2012","AuthForAppnAmount","Base",NA,NA,25915
"1652",2014,"051202N","051202","N","FY 2005 BRAC - N","NAVY","01","FY 2005 BRAC","ZU","WORLDWIDE UNSPECIFIED","Base Realignment & Closure Account V","Unspecified Worldwide Locations","DON-172: NWS Seal Beach, Concord, CA","U","2012","AuthForAppnAmount","Base",NA,NA,9663
"1653",2014,"051202N","051202","N","FY 2005 BRAC - N","NAVY","01","FY 2005 BRAC","ZU","WORLDWIDE UNSPECIFIED","Base Realignment & Closure Account V","Unspecified Worldwide Locations","DON-126: NSCS, Athens, GA","U","2012","AuthForAppnAmount","Base",NA,NA,325
"1654",2014,"051202N","051202","N","FY 2005 BRAC - N","NAVY","01","FY 2005 BRAC","ZU","WORLDWIDE UNSPECIFIED","Base Realignment & Closure Account V","Unspecified Worldwide Locations","DON-158: NSA New Orleans, LA","U","2012","AuthForAppnAmount","Base",NA,NA,2056
"1655",2014,"051202N","051202","N","FY 2005 BRAC - N","NAVY","01","FY 2005 BRAC","ZU","WORLDWIDE UNSPECIFIED","Base Realignment & Closure Account V","Unspecified Worldwide Locations","DON-138: NAS Brunswick, ME","U","2012","AuthForAppnAmount","Base",NA,NA,421
"1656",2014,"051202N","051202","N","FY 2005 BRAC - N","NAVY","01","FY 2005 BRAC","ZU","WORLDWIDE UNSPECIFIED","Base Realignment & Closure Account V","Unspecified Worldwide Locations","DON-157: MCSA Kansas City, MO","U","2012","AuthForAppnAmount","Base",NA,NA,1442
"1657",2014,"051202N","051202","N","FY 2005 BRAC - N","NAVY","01","FY 2005 BRAC","ZU","WORLDWIDE UNSPECIFIED","Base Realignment & Closure Account V","Unspecified Worldwide Locations","DON-2: NS Pascagoula, MS","U","2012","AuthForAppnAmount","Base",NA,NA,515
"1658",2014,"051202N","051202","N","FY 2005 BRAC - N","NAVY","01","FY 2005 BRAC","ZU","WORLDWIDE UNSPECIFIED","Base Realignment & Closure Account V","Unspecified Worldwide Locations","DON-84: JRB Willow Grove & Cambria Reg AP","U","2012","AuthForAppnAmount","Base",NA,NA,196
"1659",2014,"051202N","051202","N","FY 2005 BRAC - N","NAVY","01","FY 2005 BRAC","ZU","WORLDWIDE UNSPECIFIED","Base Realignment & Closure Account V","Unspecified Worldwide Locations","DON-100: Planing, Design and Management","U","2012","AuthForAppnAmount","Base",NA,NA,6190
"1660",2014,"051202N","051202","N","FY 2005 BRAC - N","NAVY","01","FY 2005 BRAC","ZU","WORLDWIDE UNSPECIFIED","Base Realignment & Closure Account V","Unspecified Worldwide Locations","DON-101: Various Locations","U","2012","AuthForAppnAmount","Base",NA,NA,101663
"1661",2014,"3300F","3300","F","MilCon, Air Force","AF","01","MAJOR CONSTRUCTION","AK","ALASKA","Enlisted Personnel Unaccompanied Personnel Housing","Eielson AFB","Dormitory (168 RM)","U","2012","AuthForAppnAmount","Base",NA,NA,45000
"1662",2014,"3300F","3300","F","MilCon, Air Force","AF","01","MAJOR CONSTRUCTION","AK","ALASKA","Enlisted Personnel Unaccompanied Personnel Housing","Joint Base Elmendorf-Richardson","Brigade Combat Team (Light) Complex, (480 RM)","U","2012","AuthForAppnAmount","Base",NA,NA,97000
