"","SourceFiscalYear","AccountDSI","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","AGtitle","LineNumber","LineNumber","SAG","SAG.Title","IncludeInTOA","Classified","FiscalYear","OriginType","ActualTotal","EnactedTotal","EnactedType","PBtotal","PBtype"
"147",2014,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","Undistributed","040","040","CR","Adj to Match Continuing Resolution","Y","U",2014,"OCO",NA,NA,NA,NA,0
"148",2014,"493003F","Working Capital Fund, Air Force","AF","21","Supply MGMT","Working Capital Fund","050","050","111","Supplies and Materials (Medical/Dental)","Y","U",2014,"OCO",NA,NA,NA,NA,0
"149",2014,"493005D","Working Capital Fund, Defense-Wide","DLA","20","DLA Working Capital Funds","Working Capital Fund","010","010","ES08","Defense Logistics Agency (DLA)","Y","U",2014,"OCO",NA,NA,NA,NA,131678
"150",2014,"493005D","Working Capital Fund, Defense-Wide","DEFW","20","DLA Working Capital Funds","Undistributed","020","020","CR","Adj to Match Continuing Resolution","Y","U",2014,"OCO",NA,NA,NA,NA,0
"151",2014,"493005D","Working Capital Fund, Defense-Wide","DLA","20","DLA Working Capital Funds","Undistributed","030","030","CR","Adj to Match Continuing Resolution","Y","U",2014,"OCO",NA,NA,NA,NA,0
"152",2014,"493004D","Working Capital Fund, DECA","DECA","20","Undistributed","Working Capital Fund Support","010","010","ES11","Working Capital Fund, DECA","Y","U",2014,"OCO",NA,NA,NA,NA,0
"153",2014,"493004D","Working Capital Fund, DECA","DECA","20","Undistributed","Undistributed","020","020","CR","Adj to Match Continuing Resolution","Y","U",2014,"OCO",NA,NA,NA,NA,0
"154",2014,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"OCO",NA,NA,NA,NA,NA
"155",2014,"*  Reflects the FY 2013 President's Budget with an undistributed adjustment to match the Annualized Continuing Resolution funding level",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"OCO",NA,NA,NA,NA,NA
"156",2014,"   by appropriation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"OCO",NA,NA,NA,NA,NA
"157",2014,"493001A","Working Capital Fund, Army","ARMY","20","Supply Management","Working Capital Fund","010","010","200","Prepositioned War Reserve Stocks","Y","U",2014,"Total",NA,NA,NA,69890,NA
"158",2014,"493001A","Working Capital Fund, Army","ARMY","20","Supply Management","Undistributed","020","020","CR","Adj to Match Continuing Resolution","Y","U",2014,"Total",NA,NA,NA,0,NA
"159",2014,"4557N","National Defense Sealift Fund","NAVY","01","Construction And Conversion","Strategic Sealift Acquisition","010","010","0100","LMSR","Y","U",2014,"Total",NA,NA,NA,0,NA
"160",2014,"4557N","National Defense Sealift Fund","NAVY","01","Construction And Conversion","Strategic Sealift Acquisition","020","020","0401","MPF MLP","Y","U",2014,"Total",NA,NA,NA,134917,NA
"161",2014,"4557N","National Defense Sealift Fund","NAVY","01","Construction And Conversion","Strategic Sealift Acquisition","030","030","5000","Post Delivery and Outfitting","Y","U",2014,"Total",NA,NA,NA,43404,NA
"162",2014,"4557N","National Defense Sealift Fund","NAVY","02","Operations, Maintenance And Lease","Mobilization Preparedness","040","040","0200","National Def Sealift Vessel","Y","U",2014,"Total",NA,NA,NA,0,NA
"163",2014,"4557N","National Defense Sealift Fund","NAVY","02","Operations, Maintenance And Lease","Mobilization Preparedness","050","050","0220","LG Med Spd Ro/Ro Maintenance","Y","U",2014,"Total",NA,NA,NA,116784,NA
"164",2014,"4557N","National Defense Sealift Fund","NAVY","02","Operations, Maintenance And Lease","Mobilization Preparedness","060","060","0230","DoD Mobilization Alterations","Y","U",2014,"Total",NA,NA,NA,60703,NA
"165",2014,"4557N","National Defense Sealift Fund","NAVY","02","Operations, Maintenance And Lease","Mobilization Preparedness","070","070","0250","TAH Maintenance","Y","U",2014,"Total",NA,NA,NA,19809,NA
"166",2014,"4557N","National Defense Sealift Fund","NAVY","04","Research and Development","Research And Development","080","080","0900","Research And Development","Y","U",2014,"Total",NA,NA,NA,56058,NA
"167",2014,"4557N","National Defense Sealift Fund","NAVY","05","Ready Reserve Forces","Ready Reserve and Prepositioning Force","090","090","0500","Ready Reserve Force","Y","U",2014,"Total",NA,NA,NA,299025,NA
"168",2014,"4557N","National Defense Sealift Fund","NAVY","20","Undistributed","Undistributed","100","100","CR","Adj to Match Continuing Resolution","Y","U",2014,"Total",NA,NA,NA,0,NA
"169",2014,"493002N","Working Capital Fund, Navy","NAVY","20","Undistributed","Undistributed","010","010","UNDD","Undistributed","Y","U",2014,"Total",NA,NA,NA,0,NA
"170",2014,"493003F","Working Capital Fund, Air Force","AF","10","Transportation","Working Capital Fund","010","010","220","C-17 CLS Engine Repair","Y","U",2014,"Total",NA,NA,NA,0,NA
"171",2014,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","Working Capital Fund","020","020","200","Transportation Fallen Heroes","Y","U",2014,"Total",NA,NA,NA,0,NA
"172",2014,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","Working Capital Fund","030","030","ES17","Fuel Costs","Y","U",2014,"Total",NA,NA,NA,150231,NA
"173",2014,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","Undistributed","040","040","CR","Adj to Match Continuing Resolution","Y","U",2014,"Total",NA,NA,NA,0,NA
"174",2014,"493003F","Working Capital Fund, Air Force","AF","21","Supply MGMT","Working Capital Fund","050","050","111","Supplies and Materials (Medical/Dental)","Y","U",2014,"Total",NA,NA,NA,0,NA
"175",2014,"493005D","Working Capital Fund, Defense-Wide","DLA","20","DLA Working Capital Funds","Working Capital Fund","010","010","ES08","Defense Logistics Agency (DLA)","Y","U",2014,"Total",NA,NA,NA,178106,NA
"176",2014,"493005D","Working Capital Fund, Defense-Wide","DEFW","20","DLA Working Capital Funds","Undistributed","020","020","CR","Adj to Match Continuing Resolution","Y","U",2014,"Total",NA,NA,NA,0,NA
"177",2014,"493005D","Working Capital Fund, Defense-Wide","DLA","20","DLA Working Capital Funds","Undistributed","030","030","CR","Adj to Match Continuing Resolution","Y","U",2014,"Total",NA,NA,NA,0,NA
"178",2014,"493004D","Working Capital Fund, DECA","DECA","20","Undistributed","Working Capital Fund Support","010","010","ES11","Working Capital Fund, DECA","Y","U",2014,"Total",NA,NA,NA,1413001,NA
"179",2014,"493004D","Working Capital Fund, DECA","DECA","20","Undistributed","Undistributed","020","020","CR","Adj to Match Continuing Resolution","Y","U",2014,"Total",NA,NA,NA,0,NA
"180",2014,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Total",NA,NA,NA,NA,NA
"181",2014,"*  Reflects the FY 2013 President's Budget with an undistributed adjustment to match the Annualized Continuing Resolution funding level",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Total",NA,NA,NA,NA,NA
"182",2014,"   by appropriation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Total",NA,NA,NA,NA,NA
