"SourceFiscalYear","AccountDSI","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","BudgetSubActivity","BudgetSubActivityTitle","Classified","FiscalYear","OriginType","ActualTotal","EnactedTotal","EnactedType","PBtotal","PBtype"
2012,"1105N","Military Personnel, Marine Corps","NAVY","01","Pay And Allowances Of Officers","50","Separation Pay      ","U",2011,"Base",,,26146,,
2012,"1105N","Military Personnel, Marine Corps","NAVY","01","Pay And Allowances Of Officers","55","Social Security Tax  ","U",2011,"Base",,,214341,,
2012,"1105N","Military Personnel, Marine Corps","NAVY","02","Pay And Allowances Of Enlisted","60","Basic Pay ","U",2011,"Base",,,9654349,,
2012,"1105N","Military Personnel, Marine Corps","NAVY","02","Pay And Allowances Of Enlisted","65","Retired Pay Accrual ","U",2011,"Base",,,3128598,,
2012,"1105N","Military Personnel, Marine Corps","NAVY","02","Pay And Allowances Of Enlisted","80","Basic Allowance For Housing ","U",2011,"Base",,,3263924,,
2012,"1105N","Military Personnel, Marine Corps","NAVY","02","Pay And Allowances Of Enlisted","85","Incentive Pays     ","U",2011,"Base",,,18005,,
2012,"1105N","Military Personnel, Marine Corps","NAVY","02","Pay And Allowances Of Enlisted","90","Special Pays       ","U",2011,"Base",,,567501,,
2012,"1105N","Military Personnel, Marine Corps","NAVY","02","Pay And Allowances Of Enlisted","95","Allowances         ","U",2011,"Base",,,546673,,
2012,"1105N","Military Personnel, Marine Corps","NAVY","02","Pay And Allowances Of Enlisted","100","Separation Pay     ","U",2011,"Base",,,127990,,
2012,"1105N","Military Personnel, Marine Corps","NAVY","02","Pay And Allowances Of Enlisted","105","Social Security Tax   ","U",2011,"Base",,,732174,,
2012,"1105N","Military Personnel, Marine Corps","NAVY","04","Subsistence Of Enlisted Personnel","115","Basic Allowance For Subsistence ","U",2011,"Base",,,962939,,
2012,"1105N","Military Personnel, Marine Corps","NAVY","04","Subsistence Of Enlisted Personnel","120","Subsistence-In-Kind ","U",2011,"Base",,,638378,,
2012,"1105N","Military Personnel, Marine Corps","NAVY","04","Subsistence Of Enlisted Personnel","121","Family Subsistence Supplemental Allowance ","U",2011,"Base",,,1475,,
2012,"1105N","Military Personnel, Marine Corps","NAVY","05","Permanent Change Of Station Travel","125","Accession Travel ","U",2011,"Base",,,156059,,
2012,"1105N","Military Personnel, Marine Corps","NAVY","05","Permanent Change Of Station Travel","130","Training Travel ","U",2011,"Base",,,19816,,
2012,"1105N","Military Personnel, Marine Corps","NAVY","05","Permanent Change Of Station Travel","135","Operational Travel  ","U",2011,"Base",,,470749,,
2012,"1105N","Military Personnel, Marine Corps","NAVY","05","Permanent Change Of Station Travel","140","Rotational Travel  ","U",2011,"Base",,,226742,,
2012,"1105N","Military Personnel, Marine Corps","NAVY","05","Permanent Change Of Station Travel","145","Separation Travel ","U",2011,"Base",,,109169,,
2012,"1105N","Military Personnel, Marine Corps","NAVY","05","Permanent Change Of Station Travel","150","Travel Of Organized Units ","U",2011,"Base",,,1459,,
2012,"1105N","Military Personnel, Marine Corps","NAVY","05","Permanent Change Of Station Travel","155","Non-Temporary Storage ","U",2011,"Base",,,12396,,
2012,"1105N","Military Personnel, Marine Corps","NAVY","05","Permanent Change Of Station Travel","160","Temporary Lodging Expense ","U",2011,"Base",,,27167,,
2012,"1105N","Military Personnel, Marine Corps","NAVY","05","Permanent Change Of Station Travel","165","Other ","U",2011,"Base",,,5275,,
2012,"1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","170","Apprehension Of Military Deserters ","U",2011,"Base",,,3584,,
2012,"1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","175","Interest On Uniformed Services Savings ","U",2011,"Base",,,37,,
2012,"1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","180","Death Gratuities ","U",2011,"Base",,,33816,,
2012,"1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","185","Unemployment Benefits ","U",2011,"Base",,,136362,,
2012,"1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","195","Education Benefits ","U",2011,"Base",,,8354,,
2012,"1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","200","Adoption Expenses ","U",2011,"Base",,,313,,
2012,"1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","210","Transportation Subsidy ","U",2011,"Base",,,5609,,
2012,"1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","215","Partial Dislocation Allowance ","U",2011,"Base",,,547,,
2012,"1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","216","SGLI Extra Hazard Payments","U",2011,"Base",,,0,,
2012,"1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","218","Junior R.O.T.C","U",2011,"Base",,,10954,,
2012,"1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","227","Stop-Loss Retroactive Payments","U",2011,"Base",,,0,,
2012,"1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","228","Preventive Health Allowance Demonstration Project","U",2011,"Base",,,0,,
2012,"1105N","Military Personnel, Marine Corps","NAVY","20","Undistributed","CR1","Adj to Match Continuing Resolution","U",2011,"Base",,,-450171,,
2012,"1105N","Military Personnel, Marine Corps","","","Less Reimbursables","","Less Reimbursables","U",2011,"Base",,,-40320,,
2012,"1001N","MEDICARE - Retiree Health Care Contribution ,MC","NAVY","01","Pay And Allowances Of Officers","300","Marine Corps","U",2011,"Base",,,239672,,
2012,"1001N","MEDICARE - Retiree Health Care Contribution ,MC","NAVY","02","Pay And Allowances Of Enlisted","300","Marine Corps","U",2011,"Base",,,2044970,,
2012,"1405N","Reserve Personnel, Navy","NAVY","01","Reserve Component Training And Support","10","Pay Group A Training  (15 Days & Drills 24/48)","U",2011,"Base",,,1242068,,
2012,"1405N","Reserve Personnel, Navy","NAVY","01","Reserve Component Training And Support","20","Pay Group B Training  (Backfill For Active Duty)","U",2011,"Base",,,17977,,
2012,"1405N","Reserve Personnel, Navy","NAVY","01","Reserve Component Training And Support","30","Pay Group F Training  (Recruits)","U",2011,"Base",,,90388,,
2012,"1405N","Reserve Personnel, Navy","NAVY","01","Reserve Component Training And Support","60","Mobilization Training","U",2011,"Base",,,16717,,
2012,"1405N","Reserve Personnel, Navy","NAVY","01","Reserve Component Training And Support","70","School Training","U",2011,"Base",,,91036,,
2012,"1405N","Reserve Personnel, Navy","NAVY","01","Reserve Component Training And Support","80","Special Training","U",2011,"Base",,,177685,,
2012,"1405N","Reserve Personnel, Navy","NAVY","01","Reserve Component Training And Support","90","Administration And Support","U",2011,"Base",,,2103213,,
2012,"1405N","Reserve Personnel, Navy","NAVY","01","Reserve Component Training And Support","100","Education Benefits","U",2011,"Base",,,7492,,
2012,"1405N","Reserve Personnel, Navy","NAVY","01","Reserve Component Training And Support","120","Health Profession Scholarship","U",2011,"Base",,,106916,,
2012,"1405N","Reserve Personnel, Navy","NAVY","20","Undistributed","CR1","Adj to Match Continuing Resolution","U",2011,"Base",,,-34890,,
2012,"1002N","MEDICARE - Retiree Health Care Contribution , N RES","NAVY","01","Unit & Individual Training","300","Reserve Personnel, Navy","U",2011,"Base",,,483168,,
2012,"1108N","Reserve Personnel, Marine Corps","NAVY","01","Reserve Component Training And Support","10","Pay Group A Training  (15 Days & Drills 24/48)","U",2011,"Base",,,392691,,
2012,"1108N","Reserve Personnel, Marine Corps","NAVY","01","Reserve Component Training And Support","20","Pay Group B Training  (Backfill For Act Duty)","U",2011,"Base",,,72001,,
2012,"1108N","Reserve Personnel, Marine Corps","NAVY","01","Reserve Component Training And Support","30","Pay Group F Training  (Recruits)","U",2011,"Base",,,191662,,
2012,"1108N","Reserve Personnel, Marine Corps","NAVY","01","Reserve Component Training And Support","60","Mobilization Training","U",2011,"Base",,,7424,,
2012,"1108N","Reserve Personnel, Marine Corps","NAVY","01","Reserve Component Training And Support","70","School Training","U",2011,"Base",,,33513,,
2012,"1108N","Reserve Personnel, Marine Corps","NAVY","01","Reserve Component Training And Support","80","Special Training","U",2011,"Base",,,55199,,
2012,"1108N","Reserve Personnel, Marine Corps","NAVY","01","Reserve Component Training And Support","90","Administration And Support","U",2011,"Base",,,431692,,
2012,"1108N","Reserve Personnel, Marine Corps","NAVY","01","Reserve Component Training And Support","95","Platoon Leader Class","U",2011,"Base",,,24434,,
2012,"1108N","Reserve Personnel, Marine Corps","NAVY","01","Reserve Component Training And Support","100","Education Benefits","U",2011,"Base",,,22325,,
2012,"1108N","Reserve Personnel, Marine Corps","NAVY","20","Undistributed","CR1","Adj to Match Continuing Resolution","U",2011,"Base",,,-3941,,
2012,"1003N","MEDICARE - Retiree Health Care Contribution , MC RES","NAVY","01","Unit & Individual Training","300","Reserve Personnel, Marine Corps","U",2011,"Base",,,264230,,
2012,"3500F","Military Personnel, Air Force","AF","01","Pay And Allowances Of Officers","5","Basic Pay ","U",2011,"Base",,,9215056,,
2012,"3500F","Military Personnel, Air Force","AF","01","Pay And Allowances Of Officers","10","Retired Pay Accrual ","U",2011,"Base",,,2993282,,
2012,"3500F","Military Personnel, Air Force","AF","01","Pay And Allowances Of Officers","25","Basic Allowance For Housing ","U",2011,"Base",,,2648669,,
2012,"3500F","Military Personnel, Air Force","AF","01","Pay And Allowances Of Officers","30","Basic Allowance For Subsistence ","U",2011,"Base",,,358280,,
2012,"3500F","Military Personnel, Air Force","AF","01","Pay And Allowances Of Officers","35","Incentive Pays     ","U",2011,"Base",,,470074,,
2012,"3500F","Military Personnel, Air Force","AF","01","Pay And Allowances Of Officers","40","Special Pays       ","U",2011,"Base",,,634263,,
2012,"3500F","Military Personnel, Air Force","AF","01","Pay And Allowances Of Officers","45","Allowances          ","U",2011,"Base",,,251840,,
2012,"3500F","Military Personnel, Air Force","AF","01","Pay And Allowances Of Officers","50","Separation Pay      ","U",2011,"Base",,,127711,,
2012,"3500F","Military Personnel, Air Force","AF","01","Pay And Allowances Of Officers","55","Social Security Tax  ","U",2011,"Base",,,699273,,
2012,"3500F","Military Personnel, Air Force","AF","02","Pay And Allowances Of Enlisted","60","Basic Pay ","U",2011,"Base",,,16784608,,
2012,"3500F","Military Personnel, Air Force","AF","02","Pay And Allowances Of Enlisted","65","Retired Pay Accrual ","U",2011,"Base",,,5466563,,
2012,"3500F","Military Personnel, Air Force","AF","02","Pay And Allowances Of Enlisted","80","Basic Allowance For Housing ","U",2011,"Base",,,5972459,,
2012,"3500F","Military Personnel, Air Force","AF","02","Pay And Allowances Of Enlisted","85","Incentive Pays     ","U",2011,"Base",,,72680,,
2012,"3500F","Military Personnel, Air Force","AF","02","Pay And Allowances Of Enlisted","90","Special Pays       ","U",2011,"Base",,,778399,,
2012,"3500F","Military Personnel, Air Force","AF","02","Pay And Allowances Of Enlisted","95","Allowances         ","U",2011,"Base",,,1121819,,
2012,"3500F","Military Personnel, Air Force","AF","02","Pay And Allowances Of Enlisted","100","Separation Pay     ","U",2011,"Base",,,244519,,
2012,"3500F","Military Personnel, Air Force","AF","02","Pay And Allowances Of Enlisted","105","Social Security Tax   ","U",2011,"Base",,,1284027,,
2012,"3500F","Military Personnel, Air Force","AF","03","Pay And Allowances Of Cadets/Midshipmen","110","Academy Cadets ","U",2011,"Base",,,148132,,
2012,"3500F","Military Personnel, Air Force","AF","04","Subsistence Of Enlisted Personnel","115","Basic Allowance For Subsistence ","U",2011,"Base",,,1714659,,
2012,"3500F","Military Personnel, Air Force","AF","04","Subsistence Of Enlisted Personnel","120","Subsistence-In-Kind ","U",2011,"Base",,,333911,,
2012,"3500F","Military Personnel, Air Force","AF","04","Subsistence Of Enlisted Personnel","121","Family Subsistence Supplemental Allowance ","U",2011,"Base",,,73,,
2012,"3500F","Military Personnel, Air Force","AF","05","Permanent Change Of Station Travel","125","Accession Travel ","U",2011,"Base",,,171701,,
2012,"3500F","Military Personnel, Air Force","AF","05","Permanent Change Of Station Travel","130","Training Travel ","U",2011,"Base",,,142508,,
2012,"3500F","Military Personnel, Air Force","AF","05","Permanent Change Of Station Travel","135","Operational Travel  ","U",2011,"Base",,,582904,,
2012,"3500F","Military Personnel, Air Force","AF","05","Permanent Change Of Station Travel","140","Rotational Travel  ","U",2011,"Base",,,992745,,
2012,"3500F","Military Personnel, Air Force","AF","05","Permanent Change Of Station Travel","145","Separation Travel ","U",2011,"Base",,,346929,,
2012,"3500F","Military Personnel, Air Force","AF","05","Permanent Change Of Station Travel","150","Travel Of Organized Units ","U",2011,"Base",,,46299,,
2012,"3500F","Military Personnel, Air Force","AF","05","Permanent Change Of Station Travel","155","Non-Temporary Storage ","U",2011,"Base",,,80119,,
2012,"3500F","Military Personnel, Air Force","AF","05","Permanent Change Of Station Travel","160","Temporary Lodging Expense ","U",2011,"Base",,,56861,,
2012,"3500F","Military Personnel, Air Force","AF","06","Other Military Personnel Costs","170","Apprehension Of Military Deserters ","U",2011,"Base",,,257,,
2012,"3500F","Military Personnel, Air Force","AF","06","Other Military Personnel Costs","175","Interest On Uniformed Services Savings ","U",2011,"Base",,,4282,,
2012,"3500F","Military Personnel, Air Force","AF","06","Other Military Personnel Costs","180","Death Gratuities ","U",2011,"Base",,,39105,,
2012,"3500F","Military Personnel, Air Force","AF","06","Other Military Personnel Costs","185","Unemployment Benefits ","U",2011,"Base",,,96569,,
2012,"3500F","Military Personnel, Air Force","AF","06","Other Military Personnel Costs","190","Survivor Benefits ","U",2011,"Base",,,3459,,
2012,"3500F","Military Personnel, Air Force","AF","06","Other Military Personnel Costs","195","Education Benefits ","U",2011,"Base",,,951,,
2012,"3500F","Military Personnel, Air Force","AF","06","Other Military Personnel Costs","200","Adoption Expenses ","U",2011,"Base",,,776,,
2012,"3500F","Military Personnel, Air Force","AF","06","Other Military Personnel Costs","210","Transportation Subsidy ","U",2011,"Base",,,13565,,
2012,"3500F","Military Personnel, Air Force","AF","06","Other Military Personnel Costs","215","Partial Dislocation Allowance ","U",2011,"Base",,,3101,,
2012,"3500F","Military Personnel, Air Force","AF","06","Other Military Personnel Costs","216","SGLI Extra Hazard Payments","U",2011,"Base",,,0,,
2012,"3500F","Military Personnel, Air Force","AF","06","Other Military Personnel Costs","217","Reserve Officers Training Corps (ROTC)","U",2011,"Base",,,89550,,
2012,"3500F","Military Personnel, Air Force","AF","06","Other Military Personnel Costs","218","Junior ROTC","U",2011,"Base",,,31805,,
2012,"3500F","Military Personnel, Air Force","AF","06","Other Military Personnel Costs","221","Retroactive Stop Loss Payments","U",2011,"Base",,,0,,
2012,"3500F","Military Personnel, Air Force","AF","06","Other Military Personnel Costs","228","Preventive Health Allowance Demonstration Project","U",2011,"Base",,,0,,
2012,"3500F","Military Personnel, Air Force","AF","20","Undistributed","CR1","Adj to Match Continuing Resolution","U",2011,"Base",,,-947619,,
2012,"3500F","Military Personnel, Air Force","","","Less Reimbursables","","Less Reimbursables","U",2011,"Base",,,-727892,,
2012,"1007F","MEDICARE - Retiree Health Care Contribution , AF","AF","01","Pay And Allowances Of Officers","300","Air Force","U",2011,"Base",,,721114,,
2012,"1007F","MEDICARE - Retiree Health Care Contribution , AF","AF","02","Pay And Allowances Of Enlisted","300","Air Force","U",2011,"Base",,,2996498,,
2012,"1007F","MEDICARE - Retiree Health Care Contribution , AF","AF","20","Undistributed","CR1","Adj to Match Continuing Resolution","U",2011,"Base",,,7518,,
2012,"3700F","Reserve Personnel, Air Force","AF","01","Reserve Component Training And Support","10","Pay Group A Training  (15 Days & Drills 24/48)","U",2011,"Base",,,1301981,,
2012,"3700F","Reserve Personnel, Air Force","AF","01","Reserve Component Training And Support","20","Pay Group B Training  (Backfill For Act Duty)","U",2011,"Base",,,198016,,
2012,"3700F","Reserve Personnel, Air Force","AF","01","Reserve Component Training And Support","30","Pay Group F Training  (Recruits)","U",2011,"Base",,,106533,,
2012,"3700F","Reserve Personnel, Air Force","AF","01","Reserve Component Training And Support","40","Pay Group P Training  (Pipeline Recruits)","U",2011,"Base",,,97,,
2012,"3700F","Reserve Personnel, Air Force","AF","01","Reserve Component Training And Support","60","Mobilization Training","U",2011,"Base",,,868,,
2012,"3700F","Reserve Personnel, Air Force","AF","01","Reserve Component Training And Support","70","School Training","U",2011,"Base",,,317118,,
2012,"3700F","Reserve Personnel, Air Force","AF","01","Reserve Component Training And Support","80","Special Training","U",2011,"Base",,,472423,,
2012,"3700F","Reserve Personnel, Air Force","AF","01","Reserve Component Training And Support","90","Administration And Support","U",2011,"Base",,,735676,,
2012,"3700F","Reserve Personnel, Air Force","AF","01","Reserve Component Training And Support","100","Education Benefits","U",2011,"Base",,,35534,,
2012,"3700F","Reserve Personnel, Air Force","AF","01","Reserve Component Training And Support","120","Health Profession Scholarship","U",2011,"Base",,,99698,,
2012,"3700F","Reserve Personnel, Air Force","AF","01","Reserve Component Training And Support","130","Other Programs (Admin & Support)","U",2011,"Base",,,8265,,
2012,"3700F","Reserve Personnel, Air Force","AF","20","Undistributed","CR1","Adj to Match Continuing Resolution","U",2011,"Base",,,-97385,,
2012,"1008F","MEDICARE - Retiree Health Care Contribution , AF RES","AF","01","Unit & Individual Training","300","Reserve Personnel, Air Force","U",2011,"Base",,,480118,,
2012,"1008F","MEDICARE - Retiree Health Care Contribution , AF RES","AF","20","Undistributed","CR1","Adj to Match Continuing Resolution","U",2011,"Base",,,-30,,
2012,"3850F","National Guard Personnel, Air Force","AF","01","Unit And Individual Training","10","Pay Group A Training  (15 Days & Drills 24/48)","U",2011,"Base",,,1829205,,
2012,"3850F","National Guard Personnel, Air Force","AF","01","Unit And Individual Training","30","Pay Group F Training  (Recruits)","U",2011,"Base",,,194358,,
2012,"3850F","National Guard Personnel, Air Force","AF","01","Unit And Individual Training","40","Pay Group P Training  (Pipeline Recruits)","U",2011,"Base",,,580,,
2012,"3850F","National Guard Personnel, Air Force","AF","01","Unit And Individual Training","70","School Training","U",2011,"Base",,,408702,,
2012,"3850F","National Guard Personnel, Air Force","AF","01","Unit And Individual Training","80","Special Training","U",2011,"Base",,,255460,,
2012,"3850F","National Guard Personnel, Air Force","AF","01","Unit And Individual Training","90","Administration And Support","U",2011,"Base",,,3294063,,
2012,"3850F","National Guard Personnel, Air Force","AF","01","Unit And Individual Training","100","Education Benefits","U",2011,"Base",,,59459,,
2012,"3850F","National Guard Personnel, Air Force","AF","20","Undistributed","CR1","Adj to Match Continuing Resolution","U",2011,"Base",,,-165369,,
2012,"1009F","MEDICARE - Retiree Health Care Contribution , AF GUARD","AF","01","Unit & Individual Training","300","National Guard Personnel, Air Force","U",2011,"Base",,,774778,,
2012,"1009F","MEDICARE - Retiree Health Care Contribution , AF GUARD","AF","20","Undistributed","CR1","Adj to Match Continuing Resolution","U",2011,"Base",,,-614,,
2012,,,,,,,,,2011,"Base",,,,,
2012,"* Reflects the FY 2011 President's Budget with an undistributed adjustment to match the Annualized Continuing Resolution funding level",,,,,,,,2011,"Base",,,,,
2012,"by appropriation.",,,,,,,,2011,"Base",,,,,
2012,"** Adjusts each budget line included in the FY 2011 President's Budget request proportionally to match the Annualized Continuing Resolution funding",,,,,,,,2011,"Base",,,,,
2012,"level for each appropriation.",,,,,,,,2011,"Base",,,,,
2012,"2010A","Military Personnel, Army","ARMY","01","Pay And Allowances Of Officers","5","Basic Pay","U",2011,"OCO",,,2543622,,
2012,"2010A","Military Personnel, Army","ARMY","01","Pay And Allowances Of Officers","10","Retired Pay Accrual","U",2011,"OCO",,,643783,,
2012,"2010A","Military Personnel, Army","ARMY","01","Pay And Allowances Of Officers","25","Basic Allowance For Housing","U",2011,"OCO",,,718915,,
2012,"2010A","Military Personnel, Army","ARMY","01","Pay And Allowances Of Officers","30","Basic Allowance For Subsistence","U",2011,"OCO",,,91965,,
2012,"2010A","Military Personnel, Army","ARMY","01","Pay And Allowances Of Officers","35","Incentive Pays     ","U",2011,"OCO",,,5826,,
2012,"2010A","Military Personnel, Army","ARMY","01","Pay And Allowances Of Officers","40","Special Pays       ","U",2011,"OCO",,,327280,,
2012,"2010A","Military Personnel, Army","ARMY","01","Pay And Allowances Of Officers","45","Allowances          ","U",2011,"OCO",,,116378,,
2012,"2010A","Military Personnel, Army","ARMY","01","Pay And Allowances Of Officers","50","Separation Pay      ","U",2011,"OCO",,,2678,,
2012,"2010A","Military Personnel, Army","ARMY","01","Pay And Allowances Of Officers","55","Social Security Tax  ","U",2011,"OCO",,,194505,,
2012,"2010A","Military Personnel, Army","ARMY","02","Pay And Allowances Of Enlisted","60","Basic Pay ","U",2011,"OCO",,,5565467,,
2012,"2010A","Military Personnel, Army","ARMY","02","Pay And Allowances Of Enlisted","65","Retired Pay Accrual ","U",2011,"OCO",,,1424775,,
2012,"2010A","Military Personnel, Army","ARMY","02","Pay And Allowances Of Enlisted","80","Basic Allowance For Housing ","U",2011,"OCO",,,2289005,,
2012,"2010A","Military Personnel, Army","ARMY","02","Pay And Allowances Of Enlisted","85","Incentive Pays     ","U",2011,"OCO",,,13797,,
2012,"2010A","Military Personnel, Army","ARMY","02","Pay And Allowances Of Enlisted","90","Special Pays       ","U",2011,"OCO",,,1179810,,
2012,"2010A","Military Personnel, Army","ARMY","02","Pay And Allowances Of Enlisted","95","Allowances         ","U",2011,"OCO",,,497145,,
2012,"2010A","Military Personnel, Army","ARMY","02","Pay And Allowances Of Enlisted","100","Separation Pay     ","U",2011,"OCO",,,53997,,
2012,"2010A","Military Personnel, Army","ARMY","02","Pay And Allowances Of Enlisted","105","Social Security Tax   ","U",2011,"OCO",,,425740,,
2012,"2010A","Military Personnel, Army","ARMY","03","Pay And Allowances Of Cadets/Midshipmen","110","Academy Cadets ","U",2011,"OCO",,,0,,
2012,"2010A","Military Personnel, Army","ARMY","04","Subsistence Of Enlisted Personnel","115","Basic Allowance For Subsistence ","U",2011,"OCO",,,676186,,
2012,"2010A","Military Personnel, Army","ARMY","04","Subsistence Of Enlisted Personnel","120","Subsistence-In-Kind ","U",2011,"OCO",,,3846538,,
2012,"2010A","Military Personnel, Army","ARMY","04","Subsistence Of Enlisted Personnel","121","Family Subsistence Supplemental Allowance ","U",2011,"OCO",,,0,,
2012,"2010A","Military Personnel, Army","ARMY","05","Permanent Change Of Station Travel","125","Accession Travel ","U",2011,"OCO",,,93527,,
2012,"2010A","Military Personnel, Army","ARMY","05","Permanent Change Of Station Travel","130","Training Travel ","U",2011,"OCO",,,0,,
2012,"2010A","Military Personnel, Army","ARMY","05","Permanent Change Of Station Travel","135","Operational Travel  ","U",2011,"OCO",,,219935,,
2012,"2010A","Military Personnel, Army","ARMY","05","Permanent Change Of Station Travel","140","Rotational Travel  ","U",2011,"OCO",,,93531,,
2012,"2010A","Military Personnel, Army","ARMY","05","Permanent Change Of Station Travel","145","Separation Travel ","U",2011,"OCO",,,0,,
2012,"2010A","Military Personnel, Army","ARMY","05","Permanent Change Of Station Travel","150","Travel Of Organized Units ","U",2011,"OCO",,,0,,
2012,"2010A","Military Personnel, Army","ARMY","05","Permanent Change Of Station Travel","155","Non-Temporary Storage ","U",2011,"OCO",,,0,,
2012,"2010A","Military Personnel, Army","ARMY","05","Permanent Change Of Station Travel","160","Temporary Lodging Expense ","U",2011,"OCO",,,0,,
2012,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","170","Apprehension Of Military Deserters ","U",2011,"OCO",,,0,,
2012,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","175","Interest On Uniformed Services Savings ","U",2011,"OCO",,,33089,,
2012,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","180","Death Gratuities ","U",2011,"OCO",,,136081,,
2012,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","185","Unemployment Benefits ","U",2011,"OCO",,,395016,,
2012,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","190","Survivor Benefits ","U",2011,"OCO",,,0,,
2012,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","195","Education Benefits ","U",2011,"OCO",,,0,,
2012,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","200","Adoption Expenses ","U",2011,"OCO",,,0,,
2012,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","210","Transportation Subsidy ","U",2011,"OCO",,,0,,
2012,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","212","Reserve Income Replacement Program","U",2011,"OCO",,,3894,,
2012,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","215","Partial Dislocation Allowance ","U",2011,"OCO",,,0,,
2012,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","216","SGLI Extra Hazard Payments","U",2011,"OCO",,,351526,,
2012,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","217","Reserve Officers Training Corps (ROTC)","U",2011,"OCO",,,0,,
2012,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","218","Junior ROTC","U",2011,"OCO",,,0,,
2012,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","219","Tramatic Injury Protection Coverage (T-SGLI)","U",2011,"OCO",,,0,,
2012,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","221","Stop-Loss Retroactive Payments","U",2011,"OCO",,,0,,
2012,"2010A","Military Personnel, Army","ARMY","20","Undistributed","CR1","Adj to Match Continuing Resolution","U",2011,"OCO",,,587193,,
2012,"2010A","Military Personnel, Army","","","Less Reimbursables","","Less Reimbursables","U",2011,"OCO",,,0,,
2012,"1004A","MEDICARE - Retiree Health Care Contribution , A","ARMY","01","Pay And Allowances Of Officers","300","Military Personnel, Army","U",2011,"OCO",,,7715,,
2012,"1004A","MEDICARE - Retiree Health Care Contribution , A","ARMY","02","Pay And Allowances Of Enlisted","300","Military Personnel, Army","U",2011,"OCO",,,103067,,
2012,"1004A","MEDICARE - Retiree Health Care Contribution , A","ARMY","20","Undistributed","CR1","Adj to Match Continuing Resolution","U",2011,"OCO",,,-110782,,
2012,"2070A","Reserve Personnel, Army","ARMY","01","Reserve Component Training And Support","10","Pay Group A Training  (15 Days & Drills 24/48)","U",2011,"OCO",,,220257,,
2012,"2070A","Reserve Personnel, Army","ARMY","01","Reserve Component Training And Support","20","Pay Group B Training  (Backfill For Act Duty)","U",2011,"OCO",,,0,,
2012,"2070A","Reserve Personnel, Army","ARMY","01","Reserve Component Training And Support","30","Pay Group F Training  (Recruits)","U",2011,"OCO",,,0,,
2012,"2070A","Reserve Personnel, Army","ARMY","01","Reserve Component Training And Support","40","Pay Group P Training  (Pipeline Recruits)","U",2011,"OCO",,,0,,
2012,"2070A","Reserve Personnel, Army","ARMY","01","Reserve Component Training And Support","60","Mobilization Training","U",2011,"OCO",,,0,,
2012,"2070A","Reserve Personnel, Army","ARMY","01","Reserve Component Training And Support","70","School Training","U",2011,"OCO",,,20891,,
2012,"2070A","Reserve Personnel, Army","ARMY","01","Reserve Component Training And Support","80","Special Training","U",2011,"OCO",,,325250,,
2012,"2070A","Reserve Personnel, Army","ARMY","01","Reserve Component Training And Support","90","Administration And Support","U",2011,"OCO",,,0,,
2012,"2070A","Reserve Personnel, Army","ARMY","01","Reserve Component Training And Support","100","Education Benefits","U",2011,"OCO",,,0,,
2012,"2070A","Reserve Personnel, Army","ARMY","01","Reserve Component Training And Support","120","Health Profession Scholarship","U",2011,"OCO",,,0,,
2012,"2070A","Reserve Personnel, Army","ARMY","01","Reserve Component Training And Support","130","Other Programs","U",2011,"OCO",,,0,,
2012,"2070A","Reserve Personnel, Army","ARMY","20","Undistributed","CR1","Adj to Match Continuing Resolution","U",2011,"OCO",,,30336,,
2012,"1005A","MEDICARE - Retiree Health Care Contribution , A RES","ARMY","01","Unit & Individual Training","300","Reserve Personnel, Army","U",2011,"OCO",,,0,,
