"","SourceFiscalYear","AccountDSI","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","BudgetSubActivity","BudgetSubActivityTitle","Classified","FiscalYear","OriginType","ActualTotal","EnactedTotal","PBtotal","PBtype"
"291",2017,"2060A","National Guard Personnel, Army","ARMY","01","Unit And Individual Training","10","Pay Group A Training  (15 Days & Drills 24/48)","U",2010,"Total",NA,2519572,2519572,NA
"292",2017,"2060A","National Guard Personnel, Army","ARMY","01","Unit And Individual Training","30","Pay Group F Training  (Recruits)","U",2010,"Total",NA,462491,462491,NA
"293",2017,"2060A","National Guard Personnel, Army","ARMY","01","Unit And Individual Training","40","Pay Group P Training  (Pipeline Recruits)","U",2010,"Total",NA,68338,68338,NA
"294",2017,"2060A","National Guard Personnel, Army","ARMY","01","Unit And Individual Training","70","School Training","U",2010,"Total",NA,551893,551893,NA
"295",2017,"2060A","National Guard Personnel, Army","ARMY","01","Unit And Individual Training","80","Special Training","U",2010,"Total",NA,869749,869749,NA
"296",2017,"2060A","National Guard Personnel, Army","ARMY","01","Unit And Individual Training","90","Administration And Support","U",2010,"Total",NA,3770229,3770229,NA
"297",2017,"2060A","National Guard Personnel, Army","ARMY","01","Unit And Individual Training","100","Education Benefits","U",2010,"Total",NA,162783,162783,NA
"298",2017,"1006A","MEDICARE - Retiree Health Care Contribution , A GUARD","ARMY","01","Unit & Individual Training","300","National Guard Personnel, Army","U",2010,"Total",NA,1216585,1216585,NA
"299",2017,"1453N","Military Personnel, Navy","NAVY","01","Pay And Allowances Of Officers","5","Basic Pay ","U",2010,"Total",NA,3777437,3777437,NA
"300",2017,"1453N","Military Personnel, Navy","NAVY","01","Pay And Allowances Of Officers","10","Retired Pay Accrual ","U",2010,"Total",NA,1208212,1208212,NA
"301",2017,"1453N","Military Personnel, Navy","NAVY","01","Pay And Allowances Of Officers","25","Basic Allowance For Housing","U",2010,"Total",NA,1268635,1268635,NA
"302",2017,"1453N","Military Personnel, Navy","NAVY","01","Pay And Allowances Of Officers","30","Basic Allowance For Subsistence ","U",2010,"Total",NA,145167,145167,NA
"303",2017,"1453N","Military Personnel, Navy","NAVY","01","Pay And Allowances Of Officers","35","Incentive Pays     ","U",2010,"Total",NA,164900,164900,NA
"304",2017,"1453N","Military Personnel, Navy","NAVY","01","Pay And Allowances Of Officers","40","Special Pays       ","U",2010,"Total",NA,400359,400359,NA
"305",2017,"1453N","Military Personnel, Navy","NAVY","01","Pay And Allowances Of Officers","45","Allowances          ","U",2010,"Total",NA,118260,118260,NA
"306",2017,"1453N","Military Personnel, Navy","NAVY","01","Pay And Allowances Of Officers","50","Separation Pay      ","U",2010,"Total",NA,26078,26078,NA
"307",2017,"1453N","Military Personnel, Navy","NAVY","01","Pay And Allowances Of Officers","55","Social Security Tax  ","U",2010,"Total",NA,286597,286597,NA
"308",2017,"1453N","Military Personnel, Navy","NAVY","02","Pay And Allowances Of Enlisted","60","Basic Pay ","U",2010,"Total",NA,8376061,8376061,NA
"309",2017,"1453N","Military Personnel, Navy","NAVY","02","Pay And Allowances Of Enlisted","65","Retired Pay Accrual ","U",2010,"Total",NA,2693605,2693605,NA
"310",2017,"1453N","Military Personnel, Navy","NAVY","02","Pay And Allowances Of Enlisted","80","Basic Allowance For Housing ","U",2010,"Total",NA,3689755,3689755,NA
"311",2017,"1453N","Military Personnel, Navy","NAVY","02","Pay And Allowances Of Enlisted","85","Incentive Pays     ","U",2010,"Total",NA,102956,102956,NA
"312",2017,"1453N","Military Personnel, Navy","NAVY","02","Pay And Allowances Of Enlisted","90","Special Pays       ","U",2010,"Total",NA,985417,985417,NA
"313",2017,"1453N","Military Personnel, Navy","NAVY","02","Pay And Allowances Of Enlisted","95","Allowances         ","U",2010,"Total",NA,528951,528951,NA
"314",2017,"1453N","Military Personnel, Navy","NAVY","02","Pay And Allowances Of Enlisted","100","Separation Pay     ","U",2010,"Total",NA,148395,148395,NA
"315",2017,"1453N","Military Personnel, Navy","NAVY","02","Pay And Allowances Of Enlisted","105","Social Security Tax   ","U",2010,"Total",NA,640770,640770,NA
"316",2017,"1453N","Military Personnel, Navy","NAVY","03","Pay And Allowances Of Cadets/Midshipmen","110","Midshipmen ","U",2010,"Total",NA,73432,73432,NA
"317",2017,"1453N","Military Personnel, Navy","NAVY","04","Subsistence Of Enlisted Personnel","115","Basic Allowance For Subsistence ","U",2010,"Total",NA,703850,703850,NA
"318",2017,"1453N","Military Personnel, Navy","NAVY","04","Subsistence Of Enlisted Personnel","120","Subsistence-In-Kind ","U",2010,"Total",NA,421387,421387,NA
"319",2017,"1453N","Military Personnel, Navy","NAVY","04","Subsistence Of Enlisted Personnel","121","Family Subsistence Supplemental Allowance ","U",2010,"Total",NA,12,12,NA
"320",2017,"1453N","Military Personnel, Navy","NAVY","05","Permanent Change Of Station Travel","125","Accession Travel ","U",2010,"Total",NA,80680,80680,NA
"321",2017,"1453N","Military Personnel, Navy","NAVY","05","Permanent Change Of Station Travel","130","Training Travel ","U",2010,"Total",NA,78431,78431,NA
"322",2017,"1453N","Military Personnel, Navy","NAVY","05","Permanent Change Of Station Travel","135","Operational Travel  ","U",2010,"Total",NA,238815,238815,NA
"323",2017,"1453N","Military Personnel, Navy","NAVY","05","Permanent Change Of Station Travel","140","Rotational Travel  ","U",2010,"Total",NA,451822,451822,NA
"324",2017,"1453N","Military Personnel, Navy","NAVY","05","Permanent Change Of Station Travel","145","Separation Travel ","U",2010,"Total",NA,110875,110875,NA
"325",2017,"1453N","Military Personnel, Navy","NAVY","05","Permanent Change Of Station Travel","150","Travel Of Organized Units ","U",2010,"Total",NA,37943,37943,NA
"326",2017,"1453N","Military Personnel, Navy","NAVY","05","Permanent Change Of Station Travel","155","Non-Temporary Storage ","U",2010,"Total",NA,6024,6024,NA
"327",2017,"1453N","Military Personnel, Navy","NAVY","05","Permanent Change Of Station Travel","160","Temporary Lodging Expense ","U",2010,"Total",NA,6643,6643,NA
"328",2017,"1453N","Military Personnel, Navy","NAVY","05","Permanent Change Of Station Travel","165","Other ","U",2010,"Total",NA,8579,8579,NA
"329",2017,"1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","170","Apprehension Of Military Deserters ","U",2010,"Total",NA,258,258,NA
"330",2017,"1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","175","Interest On Uniformed Services Savings ","U",2010,"Total",NA,1411,1411,NA
"331",2017,"1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","180","Death Gratuities ","U",2010,"Total",NA,21574,21574,NA
"332",2017,"1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","185","Unemployment Benefits ","U",2010,"Total",NA,121341,121341,NA
"333",2017,"1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","195","Education Benefits ","U",2010,"Total",NA,24635,24635,NA
"334",2017,"1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","200","Adoption Expenses ","U",2010,"Total",NA,271,271,NA
"335",2017,"1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","210","Transportation Subsidy ","U",2010,"Total",NA,12522,12522,NA
"336",2017,"1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","215","Partial Dislocation Allowance ","U",2010,"Total",NA,186,186,NA
"337",2017,"1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","216","SGLI Extra Hazard Payments","U",2010,"Total",NA,54254,54254,NA
"338",2017,"1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","217","Reserve Officers Training Corps (ROTC)","U",2010,"Total",NA,22960,22960,NA
"339",2017,"1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","218","Junior R.O.T.C","U",2010,"Total",NA,13578,13578,NA
"340",2017,"1453N","Military Personnel, Navy","","","Less Reimbursables","","Less Reimbursables","U",2010,"Total",NA,-334910,-334910,NA
"341",2017,"1000N","MEDICARE - Retiree Health Care Contribution , N","NAVY","01","Pay And Allowances Of Officers","300","Navy","U",2010,"Total",NA,292617,292617,NA
"342",2017,"1000N","MEDICARE - Retiree Health Care Contribution , N","NAVY","02","Pay And Allowances Of Enlisted","300","Navy","U",2010,"Total",NA,1533044,1533044,NA
"343",2017,"1105N","Military Personnel, Marine Corps","NAVY","01","Pay And Allowances Of Officers","5","Basic Pay ","U",2010,"Total",NA,1438112,1438112,NA
"344",2017,"1105N","Military Personnel, Marine Corps","NAVY","01","Pay And Allowances Of Officers","10","Retired Pay Accrual ","U",2010,"Total",NA,458731,458731,NA
"345",2017,"1105N","Military Personnel, Marine Corps","NAVY","01","Pay And Allowances Of Officers","25","Basic Allowance For Housing ","U",2010,"Total",NA,452916,452916,NA
"346",2017,"1105N","Military Personnel, Marine Corps","NAVY","01","Pay And Allowances Of Officers","30","Basic Allowance For Subsistence ","U",2010,"Total",NA,61684,61684,NA
"347",2017,"1105N","Military Personnel, Marine Corps","NAVY","01","Pay And Allowances Of Officers","35","Incentive Pays     ","U",2010,"Total",NA,46302,46302,NA
"348",2017,"1105N","Military Personnel, Marine Corps","NAVY","01","Pay And Allowances Of Officers","40","Special Pays       ","U",2010,"Total",NA,43848,43848,NA
"349",2017,"1105N","Military Personnel, Marine Corps","NAVY","01","Pay And Allowances Of Officers","45","Allowances          ","U",2010,"Total",NA,40558,40558,NA
"350",2017,"1105N","Military Personnel, Marine Corps","NAVY","01","Pay And Allowances Of Officers","50","Separation Pay      ","U",2010,"Total",NA,14051,14051,NA
"351",2017,"1105N","Military Personnel, Marine Corps","NAVY","01","Pay And Allowances Of Officers","55","Social Security Tax  ","U",2010,"Total",NA,109135,109135,NA
"352",2017,"1105N","Military Personnel, Marine Corps","NAVY","02","Pay And Allowances Of Enlisted","60","Basic Pay ","U",2010,"Total",NA,5049168,5049168,NA
"353",2017,"1105N","Military Personnel, Marine Corps","NAVY","02","Pay And Allowances Of Enlisted","65","Retired Pay Accrual ","U",2010,"Total",NA,1613805,1613805,NA
"354",2017,"1105N","Military Personnel, Marine Corps","NAVY","02","Pay And Allowances Of Enlisted","80","Basic Allowance For Housing ","U",2010,"Total",NA,1558699,1558699,NA
"355",2017,"1105N","Military Personnel, Marine Corps","NAVY","02","Pay And Allowances Of Enlisted","85","Incentive Pays     ","U",2010,"Total",NA,8850,8850,NA
"356",2017,"1105N","Military Personnel, Marine Corps","NAVY","02","Pay And Allowances Of Enlisted","90","Special Pays       ","U",2010,"Total",NA,604027,604027,NA
"357",2017,"1105N","Military Personnel, Marine Corps","NAVY","02","Pay And Allowances Of Enlisted","95","Allowances         ","U",2010,"Total",NA,316934,316934,NA
"358",2017,"1105N","Military Personnel, Marine Corps","NAVY","02","Pay And Allowances Of Enlisted","100","Separation Pay     ","U",2010,"Total",NA,63388,63388,NA
"359",2017,"1105N","Military Personnel, Marine Corps","NAVY","02","Pay And Allowances Of Enlisted","105","Social Security Tax   ","U",2010,"Total",NA,386260,386260,NA
"360",2017,"1105N","Military Personnel, Marine Corps","NAVY","04","Subsistence Of Enlisted Personnel","115","Basic Allowance For Subsistence ","U",2010,"Total",NA,510034,510034,NA
"361",2017,"1105N","Military Personnel, Marine Corps","NAVY","04","Subsistence Of Enlisted Personnel","120","Subsistence-In-Kind ","U",2010,"Total",NA,268477,268477,NA
"362",2017,"1105N","Military Personnel, Marine Corps","NAVY","04","Subsistence Of Enlisted Personnel","121","Family Subsistence Supplemental Allowance ","U",2010,"Total",NA,750,750,NA
"363",2017,"1105N","Military Personnel, Marine Corps","NAVY","05","Permanent Change Of Station Travel","125","Accession Travel ","U",2010,"Total",NA,61621,61621,NA
"364",2017,"1105N","Military Personnel, Marine Corps","NAVY","05","Permanent Change Of Station Travel","130","Training Travel ","U",2010,"Total",NA,10948,10948,NA
"365",2017,"1105N","Military Personnel, Marine Corps","NAVY","05","Permanent Change Of Station Travel","135","Operational Travel  ","U",2010,"Total",NA,125477,125477,NA
"366",2017,"1105N","Military Personnel, Marine Corps","NAVY","05","Permanent Change Of Station Travel","140","Rotational Travel  ","U",2010,"Total",NA,145384,145384,NA
"367",2017,"1105N","Military Personnel, Marine Corps","NAVY","05","Permanent Change Of Station Travel","145","Separation Travel ","U",2010,"Total",NA,63205,63205,NA
"368",2017,"1105N","Military Personnel, Marine Corps","NAVY","05","Permanent Change Of Station Travel","150","Travel Of Organized Units ","U",2010,"Total",NA,1829,1829,NA
"369",2017,"1105N","Military Personnel, Marine Corps","NAVY","05","Permanent Change Of Station Travel","155","Non-Temporary Storage ","U",2010,"Total",NA,6297,6297,NA
"370",2017,"1105N","Military Personnel, Marine Corps","NAVY","05","Permanent Change Of Station Travel","160","Temporary Lodging Expense ","U",2010,"Total",NA,13477,13477,NA
"371",2017,"1105N","Military Personnel, Marine Corps","NAVY","05","Permanent Change Of Station Travel","165","Other ","U",2010,"Total",NA,2654,2654,NA
"372",2017,"1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","170","Apprehension Of Military Deserters ","U",2010,"Total",NA,1786,1786,NA
"373",2017,"1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","175","Interest On Uniformed Services Savings ","U",2010,"Total",NA,18,18,NA
"374",2017,"1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","180","Death Gratuities ","U",2010,"Total",NA,42300,42300,NA
"375",2017,"1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","185","Unemployment Benefits ","U",2010,"Total",NA,104741,104741,NA
"376",2017,"1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","195","Education Benefits ","U",2010,"Total",NA,3754,3754,NA
"377",2017,"1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","200","Adoption Expenses ","U",2010,"Total",NA,154,154,NA
"378",2017,"1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","210","Transportation Subsidy ","U",2010,"Total",NA,2285,2285,NA
"379",2017,"1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","215","Partial Dislocation Allowance ","U",2010,"Total",NA,275,275,NA
"380",2017,"1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","216","SGLI Extra Hazard Payments","U",2010,"Total",NA,44924,44924,NA
"381",2017,"1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","218","Junior R.O.T.C","U",2010,"Total",NA,5414,5414,NA
"382",2017,"1105N","Military Personnel, Marine Corps","","","Less Reimbursables","","Less Reimbursables","U",2010,"Total",NA,-20161,-20161,NA
"383",2017,"1001N","MEDICARE - Retiree Health Care Contribution ,MC","NAVY","01","Pay And Allowances Of Officers","300","Marine Corps","U",2010,"Total",NA,118171,118171,NA
"384",2017,"1001N","MEDICARE - Retiree Health Care Contribution ,MC","NAVY","02","Pay And Allowances Of Enlisted","300","Marine Corps","U",2010,"Total",NA,1017975,1017975,NA
"385",2017,"1405N","Reserve Personnel, Navy","NAVY","01","Unit And Individual Training","10","Pay Group A Training  (15 Days & Drills 24/48)","U",2010,"Total",NA,623296,623296,NA
"386",2017,"1405N","Reserve Personnel, Navy","NAVY","01","Unit And Individual Training","20","Pay Group B Training  (Backfill For Active Duty)","U",2010,"Total",NA,8727,8727,NA
"387",2017,"1405N","Reserve Personnel, Navy","NAVY","01","Unit And Individual Training","30","Pay Group F Training  (Recruits)","U",2010,"Total",NA,41670,41670,NA
"388",2017,"1405N","Reserve Personnel, Navy","NAVY","01","Unit And Individual Training","60","Mobilization Training","U",2010,"Total",NA,8327,8327,NA
"389",2017,"1405N","Reserve Personnel, Navy","NAVY","01","Unit And Individual Training","70","School Training","U",2010,"Total",NA,48782,48782,NA
"390",2017,"1405N","Reserve Personnel, Navy","NAVY","01","Unit And Individual Training","80","Special Training","U",2010,"Total",NA,110356,110356,NA
"391",2017,"1405N","Reserve Personnel, Navy","NAVY","01","Unit And Individual Training","90","Administration And Support","U",2010,"Total",NA,1052699,1052699,NA
"392",2017,"1405N","Reserve Personnel, Navy","NAVY","01","Unit And Individual Training","100","Education Benefits","U",2010,"Total",NA,6390,6390,NA
"393",2017,"1405N","Reserve Personnel, Navy","NAVY","01","Unit And Individual Training","120","Health Profession Scholarship","U",2010,"Total",NA,48731,48731,NA
"394",2017,"1002N","MEDICARE - Retiree Health Care Contribution , N RES","NAVY","01","Unit & Individual Training","300","Reserve Personnel, Navy","U",2010,"Total",NA,234278,234278,NA
"395",2017,"1108N","Reserve Personnel, Marine Corps","NAVY","01","Unit & Individual Training","10","Pay Group A Training  (15 Days & Drills 24/48)","U",2010,"Total",NA,180222,180222,NA
"396",2017,"1108N","Reserve Personnel, Marine Corps","NAVY","01","Unit & Individual Training","20","Pay Group B Training  (Backfill For Act Duty)","U",2010,"Total",NA,33570,33570,NA
"397",2017,"1108N","Reserve Personnel, Marine Corps","NAVY","01","Unit & Individual Training","30","Pay Group F Training  (Recruits)","U",2010,"Total",NA,115618,115618,NA
"398",2017,"1108N","Reserve Personnel, Marine Corps","NAVY","01","Unit & Individual Training","60","Mobilization Training","U",2010,"Total",NA,3672,3672,NA
"399",2017,"1108N","Reserve Personnel, Marine Corps","NAVY","01","Unit & Individual Training","70","School Training","U",2010,"Total",NA,22330,22330,NA
"400",2017,"1108N","Reserve Personnel, Marine Corps","NAVY","01","Unit & Individual Training","80","Special Training","U",2010,"Total",NA,53759,53759,NA
"401",2017,"1108N","Reserve Personnel, Marine Corps","NAVY","01","Unit & Individual Training","90","Administration And Support","U",2010,"Total",NA,204888,204888,NA
"402",2017,"1108N","Reserve Personnel, Marine Corps","NAVY","01","Unit & Individual Training","95","Platoon Leader Class","U",2010,"Total",NA,11992,11992,NA
"403",2017,"1108N","Reserve Personnel, Marine Corps","NAVY","01","Unit & Individual Training","100","Education Benefits","U",2010,"Total",NA,20044,20044,NA
"404",2017,"1003N","MEDICARE - Retiree Health Care Contribution , MC RES","NAVY","01","Unit & Individual Training","300","Reserve Personnel, Marine Corps","U",2010,"Total",NA,128897,128897,NA
"405",2017,"3500F","Military Personnel, Air Force","AF","01","Pay And Allowances Of Officers","5","Basic Pay ","U",2010,"Total",NA,4866158,4866158,NA
"406",2017,"3500F","Military Personnel, Air Force","AF","01","Pay And Allowances Of Officers","10","Retired Pay Accrual ","U",2010,"Total",NA,1546248,1546248,NA
"407",2017,"3500F","Military Personnel, Air Force","AF","01","Pay And Allowances Of Officers","25","Basic Allowance For Housing ","U",2010,"Total",NA,1324391,1324391,NA
"408",2017,"3500F","Military Personnel, Air Force","AF","01","Pay And Allowances Of Officers","30","Basic Allowance For Subsistence ","U",2010,"Total",NA,187841,187841,NA
"409",2017,"3500F","Military Personnel, Air Force","AF","01","Pay And Allowances Of Officers","35","Incentive Pays     ","U",2010,"Total",NA,253729,253729,NA
"410",2017,"3500F","Military Personnel, Air Force","AF","01","Pay And Allowances Of Officers","40","Special Pays       ","U",2010,"Total",NA,318690,318690,NA
"411",2017,"3500F","Military Personnel, Air Force","AF","01","Pay And Allowances Of Officers","45","Allowances          ","U",2010,"Total",NA,132702,132702,NA
"412",2017,"3500F","Military Personnel, Air Force","AF","01","Pay And Allowances Of Officers","50","Separation Pay      ","U",2010,"Total",NA,65103,65103,NA
"413",2017,"3500F","Military Personnel, Air Force","AF","01","Pay And Allowances Of Officers","55","Social Security Tax  ","U",2010,"Total",NA,369889,369889,NA
"414",2017,"3500F","Military Personnel, Air Force","AF","02","Pay And Allowances Of Enlisted","60","Basic Pay ","U",2010,"Total",NA,8859244,8859244,NA
"415",2017,"3500F","Military Personnel, Air Force","AF","02","Pay And Allowances Of Enlisted","65","Retired Pay Accrual ","U",2010,"Total",NA,2810872,2810872,NA
"416",2017,"3500F","Military Personnel, Air Force","AF","02","Pay And Allowances Of Enlisted","80","Basic Allowance For Housing ","U",2010,"Total",NA,3029635,3029635,NA
"417",2017,"3500F","Military Personnel, Air Force","AF","02","Pay And Allowances Of Enlisted","85","Incentive Pays     ","U",2010,"Total",NA,36875,36875,NA
"418",2017,"3500F","Military Personnel, Air Force","AF","02","Pay And Allowances Of Enlisted","90","Special Pays       ","U",2010,"Total",NA,438333,438333,NA
"419",2017,"3500F","Military Personnel, Air Force","AF","02","Pay And Allowances Of Enlisted","95","Allowances         ","U",2010,"Total",NA,583647,583647,NA
"420",2017,"3500F","Military Personnel, Air Force","AF","02","Pay And Allowances Of Enlisted","100","Separation Pay     ","U",2010,"Total",NA,123474,123474,NA
"421",2017,"3500F","Military Personnel, Air Force","AF","02","Pay And Allowances Of Enlisted","105","Social Security Tax   ","U",2010,"Total",NA,677733,677733,NA
"422",2017,"3500F","Military Personnel, Air Force","AF","03","Pay And Allowances Of Cadets/Midshipmen","110","Academy Cadets ","U",2010,"Total",NA,73661,73661,NA
"423",2017,"3500F","Military Personnel, Air Force","AF","04","Subsistence Of Enlisted Personnel","115","Basic Allowance For Subsistence ","U",2010,"Total",NA,894139,894139,NA
"424",2017,"3500F","Military Personnel, Air Force","AF","04","Subsistence Of Enlisted Personnel","120","Subsistence-In-Kind ","U",2010,"Total",NA,240657,240657,NA
"425",2017,"3500F","Military Personnel, Air Force","AF","04","Subsistence Of Enlisted Personnel","121","Family Subsistence Supplemental Allowance ","U",2010,"Total",NA,34,34,NA
"426",2017,"3500F","Military Personnel, Air Force","AF","05","Permanent Change Of Station Travel","125","Accession Travel ","U",2010,"Total",NA,85833,85833,NA
"427",2017,"3500F","Military Personnel, Air Force","AF","05","Permanent Change Of Station Travel","130","Training Travel ","U",2010,"Total",NA,71643,71643,NA
"428",2017,"3500F","Military Personnel, Air Force","AF","05","Permanent Change Of Station Travel","135","Operational Travel  ","U",2010,"Total",NA,292879,292879,NA
"429",2017,"3500F","Military Personnel, Air Force","AF","05","Permanent Change Of Station Travel","140","Rotational Travel  ","U",2010,"Total",NA,510329,510329,NA
"430",2017,"3500F","Military Personnel, Air Force","AF","05","Permanent Change Of Station Travel","145","Separation Travel ","U",2010,"Total",NA,178416,178416,NA
"431",2017,"3500F","Military Personnel, Air Force","AF","05","Permanent Change Of Station Travel","150","Travel Of Organized Units ","U",2010,"Total",NA,23286,23286,NA
"432",2017,"3500F","Military Personnel, Air Force","AF","05","Permanent Change Of Station Travel","155","Non-Temporary Storage ","U",2010,"Total",NA,40921,40921,NA
"433",2017,"3500F","Military Personnel, Air Force","AF","05","Permanent Change Of Station Travel","160","Temporary Lodging Expense ","U",2010,"Total",NA,28691,28691,NA
"434",2017,"3500F","Military Personnel, Air Force","AF","06","Other Military Personnel Costs","170","Apprehension Of Military Deserters ","U",2010,"Total",NA,130,130,NA
"435",2017,"3500F","Military Personnel, Air Force","AF","06","Other Military Personnel Costs","175","Interest On Uniformed Services Savings ","U",2010,"Total",NA,2155,2155,NA
"436",2017,"3500F","Military Personnel, Air Force","AF","06","Other Military Personnel Costs","180","Death Gratuities ","U",2010,"Total",NA,21900,21900,NA
"437",2017,"3500F","Military Personnel, Air Force","AF","06","Other Military Personnel Costs","185","Unemployment Benefits ","U",2010,"Total",NA,69968,69968,NA
"438",2017,"3500F","Military Personnel, Air Force","AF","06","Other Military Personnel Costs","190","Survivor Benefits ","U",2010,"Total",NA,1693,1693,NA
"439",2017,"3500F","Military Personnel, Air Force","AF","06","Other Military Personnel Costs","195","Education Benefits ","U",2010,"Total",NA,477,477,NA
"440",2017,"3500F","Military Personnel, Air Force","AF","06","Other Military Personnel Costs","200","Adoption Expenses ","U",2010,"Total",NA,372,372,NA
"441",2017,"3500F","Military Personnel, Air Force","AF","06","Other Military Personnel Costs","210","Transportation Subsidy ","U",2010,"Total",NA,8179,8179,NA
"442",2017,"3500F","Military Personnel, Air Force","AF","06","Other Military Personnel Costs","215","Partial Dislocation Allowance ","U",2010,"Total",NA,1556,1556,NA
"443",2017,"3500F","Military Personnel, Air Force","AF","06","Other Military Personnel Costs","216","SGLI Extra Hazard Payments","U",2010,"Total",NA,67057,67057,NA
"444",2017,"3500F","Military Personnel, Air Force","AF","06","Other Military Personnel Costs","217","Reserve Officers Training Corps (ROTC)","U",2010,"Total",NA,44973,44973,NA
"445",2017,"3500F","Military Personnel, Air Force","AF","06","Other Military Personnel Costs","218","Junior ROTC","U",2010,"Total",NA,15920,15920,NA
"446",2017,"3500F","Military Personnel, Air Force","","","Less Reimbursables","","Less Reimbursables","U",2010,"Total",NA,-363853,-363853,NA
"447",2017,"1007F","MEDICARE - Retiree Health Care Contribution , AF","AF","01","Pay And Allowances Of Officers","300","Air Force","U",2010,"Total",NA,364834,364834,NA
"448",2017,"1007F","MEDICARE - Retiree Health Care Contribution , AF","AF","02","Pay And Allowances Of Enlisted","300","Air Force","U",2010,"Total",NA,1471377,1471377,NA
"449",2017,"3700F","Reserve Personnel, Air Force","AF","01","Unit And Individual Training","10","Pay Group A Training  (15 Days & Drills 24/48)","U",2010,"Total",NA,642374,642374,NA
"450",2017,"3700F","Reserve Personnel, Air Force","AF","01","Unit And Individual Training","20","Pay Group B Training  (Backfill For Act Duty)","U",2010,"Total",NA,97968,97968,NA
"451",2017,"3700F","Reserve Personnel, Air Force","AF","01","Unit And Individual Training","30","Pay Group F Training  (Recruits)","U",2010,"Total",NA,43934,43934,NA
"452",2017,"3700F","Reserve Personnel, Air Force","AF","01","Unit And Individual Training","40","Pay Group P Training  (Pipeline Recruits)","U",2010,"Total",NA,47,47,NA
"453",2017,"3700F","Reserve Personnel, Air Force","AF","01","Unit And Individual Training","60","Mobilization Training","U",2010,"Total",NA,265,265,NA
"454",2017,"3700F","Reserve Personnel, Air Force","AF","01","Unit And Individual Training","70","School Training","U",2010,"Total",NA,154608,154608,NA
"455",2017,"3700F","Reserve Personnel, Air Force","AF","01","Unit And Individual Training","80","Special Training","U",2010,"Total",NA,247972,247972,NA
"456",2017,"3700F","Reserve Personnel, Air Force","AF","01","Unit And Individual Training","90","Administration And Support","U",2010,"Total",NA,351621,351621,NA
"457",2017,"3700F","Reserve Personnel, Air Force","AF","01","Unit And Individual Training","100","Education Benefits","U",2010,"Total",NA,18692,18692,NA
"458",2017,"3700F","Reserve Personnel, Air Force","AF","01","Unit And Individual Training","120","Health Profession Scholarship","U",2010,"Total",NA,48839,48839,NA
"459",2017,"3700F","Reserve Personnel, Air Force","AF","01","Unit And Individual Training","130","Other Programs (Admin & Support)","U",2010,"Total",NA,4206,4206,NA
"460",2017,"1008F","MEDICARE - Retiree Health Care Contribution , AF RES","AF","01","Unit & Individual Training","300","Reserve Personnel, Air Force","U",2010,"Total",NA,225191,225191,NA
"461",2017,"3850F","National Guard Personnel, Air Force","AF","01","Unit And Individual Training","10","Pay Group A Training  (15 Days & Drills 24/48)","U",2010,"Total",NA,895598,895598,NA
"462",2017,"3850F","National Guard Personnel, Air Force","AF","01","Unit And Individual Training","30","Pay Group F Training  (Recruits)","U",2010,"Total",NA,76768,76768,NA
"463",2017,"3850F","National Guard Personnel, Air Force","AF","01","Unit And Individual Training","40","Pay Group P Training  (Pipeline Recruits)","U",2010,"Total",NA,4129,4129,NA
"464",2017,"3850F","National Guard Personnel, Air Force","AF","01","Unit And Individual Training","70","School Training","U",2010,"Total",NA,199699,199699,NA
"465",2017,"3850F","National Guard Personnel, Air Force","AF","01","Unit And Individual Training","80","Special Training","U",2010,"Total",NA,127292,127292,NA
"466",2017,"3850F","National Guard Personnel, Air Force","AF","01","Unit And Individual Training","90","Administration And Support","U",2010,"Total",NA,1606637,1606637,NA
"467",2017,"3850F","National Guard Personnel, Air Force","AF","01","Unit And Individual Training","100","Education Benefits","U",2010,"Total",NA,39124,39124,NA
"468",2017,"1009F","MEDICARE - Retiree Health Care Contribution , AF GUARD","AF","01","Unit & Individual Training","300","National Guard Personnel, Air Force","U",2010,"Total",NA,374928,374928,NA
