"SourceFiscalYear","AccountDSI","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","BudgetSubActivity","BudgetSubActivityTitle","IncludeInTOA","AddOrNonAdd","Classified","FiscalYear","OriginType","ActualTotal","EnactedTotal","EnactedType","PBtotal","PBtype"
2016,"3500F","Military Personnel, Air Force","AF","06","Other Military Personnel Costs","185","Unemployment Benefits","Y","Add","U",2015,"Base",,,48842,,
2016,"3500F","Military Personnel, Air Force","AF","06","Other Military Personnel Costs","195","Education Benefits","Y","Add","U",2015,"Base",,,189,,
2016,"3500F","Military Personnel, Air Force","AF","06","Other Military Personnel Costs","200","Adoption Expenses","Y","Add","U",2015,"Base",,,546,,
2016,"3500F","Military Personnel, Air Force","AF","06","Other Military Personnel Costs","210","Transportation Subsidy","Y","Add","U",2015,"Base",,,2018,,
2016,"3500F","Military Personnel, Air Force","AF","06","Other Military Personnel Costs","215","Partial Dislocation Allowance","Y","Add","U",2015,"Base",,,1883,,
2016,"3500F","Military Personnel, Air Force","AF","06","Other Military Personnel Costs","216","SGLI Extra Hazard Payments","Y","Add","U",2015,"Base",,,0,,
2016,"3500F","Military Personnel, Air Force","AF","06","Other Military Personnel Costs","217","Reserve Officers Training Corps (ROTC)","Y","Add","U",2015,"Base",,,27669,,
2016,"3500F","Military Personnel, Air Force","AF","06","Other Military Personnel Costs","218","Junior ROTC","Y","Add","U",2015,"Base",,,15796,,
2016,"3500F","Military Personnel, Air Force","AF","","Less Reimbursables","","Less Reimbursables","N","Add","U",2015,"Base",,,-438704,,
2016,"1007F","MEDICARE - Retiree Health Care Contribution, AF","AF","01","Health Care Contribution - Officers","300","Air Force","Y","Add","U",2015,"Base",,,252254,,
2016,"1007F","MEDICARE - Retiree Health Care Contribution, AF","AF","02","Health Care Contribution - Enlisted","300","Air Force","Y","Add","U",2015,"Base",,,1021856,,
2016,"3700F","Reserve Personnel, Air Force","AF","01","Reserve Component Training and Support","010","Pay Group A Training  (15 Days & Drills 24/48)","Y","Add","U",2015,"Base",,,655663,,
2016,"3700F","Reserve Personnel, Air Force","AF","01","Reserve Component Training and Support","020","Pay Group B Training  (Backfill For Active Duty)","Y","Add","U",2015,"Base",,,106876,,
2016,"3700F","Reserve Personnel, Air Force","AF","01","Reserve Component Training and Support","030","Pay Group F Training  (Recruits)","Y","Add","U",2015,"Base",,,71429,,
2016,"3700F","Reserve Personnel, Air Force","AF","01","Reserve Component Training and Support","040","Pay Group P Training  (Pipeline Recruits)","Y","Add","U",2015,"Base",,,1681,,
2016,"3700F","Reserve Personnel, Air Force","AF","01","Reserve Component Training and Support","060","Mobilization Training","Y","Add","U",2015,"Base",,,401,,
2016,"3700F","Reserve Personnel, Air Force","AF","01","Reserve Component Training and Support","070","School Training","Y","Add","U",2015,"Base",,,125804,,
2016,"3700F","Reserve Personnel, Air Force","AF","01","Reserve Component Training and Support","080","Special Training","Y","Add","U",2015,"Base",,,219831,,
2016,"3700F","Reserve Personnel, Air Force","AF","01","Reserve Component Training and Support","090","Administration and Support","Y","Add","U",2015,"Base",,,393846,,
2016,"3700F","Reserve Personnel, Air Force","AF","01","Reserve Component Training and Support","100","Education Benefits","Y","Add","U",2015,"Base",,,13785,,
2016,"3700F","Reserve Personnel, Air Force","AF","01","Reserve Component Training and Support","120","Health Profession Scholarship","Y","Add","U",2015,"Base",,,58794,,
2016,"3700F","Reserve Personnel, Air Force","AF","01","Reserve Component Training and Support","130","Other Programs (Admin & Support)","Y","Add","U",2015,"Base",,,5038,,
2016,"1008F","MEDICARE - Retiree Health Care Contribution, AF RES","AF","01","Health Care Contribution - Reserve Component","300","Reserve Personnel, Air Force","Y","Add","U",2015,"Base",,,127214,,
2016,"3850F","National Guard Personnel, Air Force","AF","01","Reserve Component Training and Support","010","Pay Group A Training  (15 Days & Drills 24/48)","Y","Add","U",2015,"Base",,,913691,,
2016,"3850F","National Guard Personnel, Air Force","AF","01","Reserve Component Training and Support","030","Pay Group F Training  (Recruits)","Y","Add","U",2015,"Base",,,116178,,
2016,"3850F","National Guard Personnel, Air Force","AF","01","Reserve Component Training and Support","040","Pay Group P Training  (Pipeline Recruits)","Y","Add","U",2015,"Base",,,5384,,
2016,"3850F","National Guard Personnel, Air Force","AF","01","Reserve Component Training and Support","070","School Training","Y","Add","U",2015,"Base",,,243888,,
2016,"3850F","National Guard Personnel, Air Force","AF","01","Reserve Component Training and Support","080","Special Training","Y","Add","U",2015,"Base",,,166222,,
2016,"3850F","National Guard Personnel, Air Force","AF","01","Reserve Component Training and Support","090","Administration and Support","Y","Add","U",2015,"Base",,,1655552,,
2016,"3850F","National Guard Personnel, Air Force","AF","01","Reserve Component Training and Support","100","Education Benefits","Y","Add","U",2015,"Base",,,17794,,
2016,"1009F","MEDICARE - Retiree Health Care Contribution, AF GUARD","AF","01","Health Care Contribution - Reserve Component","300","National Guard Personnel, Air Force","Y","Add","U",2015,"Base",,,216969,,
2016,"2010A","Military Personnel, Army","ARMY","01","Pay and Allowances of Officers","005","Basic Pay","Y","Add","U",2015,"OCO",,,711552,,
2016,"2010A","Military Personnel, Army","ARMY","01","Pay and Allowances of Officers","010","Retired Pay Accrual","Y","Add","U",2015,"OCO",,,191560,,
2016,"2010A","Military Personnel, Army","ARMY","01","Pay and Allowances of Officers","025","Basic Allowance for Housing","Y","Add","U",2015,"OCO",,,225573,,
2016,"2010A","Military Personnel, Army","ARMY","01","Pay and Allowances of Officers","030","Basic Allowance for Subsistence","Y","Add","U",2015,"OCO",,,27449,,
2016,"2010A","Military Personnel, Army","ARMY","01","Pay and Allowances of Officers","035","Incentive Pays","Y","Add","U",2015,"OCO",,,3149,,
2016,"2010A","Military Personnel, Army","ARMY","01","Pay and Allowances of Officers","040","Special Pays","Y","Add","U",2015,"OCO",,,21655,,
2016,"2010A","Military Personnel, Army","ARMY","01","Pay and Allowances of Officers","045","Allowances","Y","Add","U",2015,"OCO",,,14347,,
2016,"2010A","Military Personnel, Army","ARMY","01","Pay and Allowances of Officers","050","Separation Pay","Y","Add","U",2015,"OCO",,,226460,,
2016,"2010A","Military Personnel, Army","ARMY","01","Pay and Allowances of Officers","055","Social Security Tax","Y","Add","U",2015,"OCO",,,54342,,
2016,"2010A","Military Personnel, Army","ARMY","02","Pay and Allowances of Enlisted","060","Basic Pay","Y","Add","U",2015,"OCO",,,537827,,
2016,"2010A","Military Personnel, Army","ARMY","02","Pay and Allowances of Enlisted","065","Retired Pay Accrual","Y","Add","U",2015,"OCO",,,125232,,
2016,"2010A","Military Personnel, Army","ARMY","02","Pay and Allowances of Enlisted","080","Basic Allowance for Housing","Y","Add","U",2015,"OCO",,,245458,,
2016,"2010A","Military Personnel, Army","ARMY","02","Pay and Allowances of Enlisted","085","Incentive Pays","Y","Add","U",2015,"OCO",,,1329,,
2016,"2010A","Military Personnel, Army","ARMY","02","Pay and Allowances of Enlisted","090","Special Pays","Y","Add","U",2015,"OCO",,,79762,,
2016,"2010A","Military Personnel, Army","ARMY","02","Pay and Allowances of Enlisted","095","Allowances","Y","Add","U",2015,"OCO",,,71977,,
2016,"2010A","Military Personnel, Army","ARMY","02","Pay and Allowances of Enlisted","100","Separation Pay","Y","Add","U",2015,"OCO",,,115727,,
2016,"2010A","Military Personnel, Army","ARMY","02","Pay and Allowances of Enlisted","105","Social Security Tax","Y","Add","U",2015,"OCO",,,41121,,
2016,"2010A","Military Personnel, Army","ARMY","03","Pay And Allowances Of Cadets","110","Academy Cadets","Y","Add","U",2015,"OCO",,,0,,
2016,"2010A","Military Personnel, Army","ARMY","04","Subsistence of Enlisted Personnel","115","Basic Allowance for Subsistence","Y","Add","U",2015,"OCO",,,103820,,
2016,"2010A","Military Personnel, Army","ARMY","04","Subsistence of Enlisted Personnel","120","Subsistence-In-Kind","Y","Add","U",2015,"OCO",,,213377,,
2016,"2010A","Military Personnel, Army","ARMY","04","Subsistence of Enlisted Personnel","121","Family Subsistence Supplemental Allowance","Y","Add","U",2015,"OCO",,,0,,
2016,"2010A","Military Personnel, Army","ARMY","05","Permanent Change of Station Travel","125","Accession Travel","Y","Add","U",2015,"OCO",,,3860,,
2016,"2010A","Military Personnel, Army","ARMY","05","Permanent Change of Station Travel","130","Training Travel","Y","Add","U",2015,"OCO",,,4778,,
2016,"2010A","Military Personnel, Army","ARMY","05","Permanent Change of Station Travel","135","Operational Travel","Y","Add","U",2015,"OCO",,,53145,,
2016,"2010A","Military Personnel, Army","ARMY","05","Permanent Change of Station Travel","140","Rotational Travel","Y","Add","U",2015,"OCO",,,32391,,
2016,"2010A","Military Personnel, Army","ARMY","05","Permanent Change of Station Travel","145","Separation Travel","Y","Add","U",2015,"OCO",,,8064,,
2016,"2010A","Military Personnel, Army","ARMY","05","Permanent Change of Station Travel","150","Travel of Organized Units","Y","Add","U",2015,"OCO",,,114,,
2016,"2010A","Military Personnel, Army","ARMY","05","Permanent Change of Station Travel","155","Non-Temporary Storage","Y","Add","U",2015,"OCO",,,0,,
2016,"2010A","Military Personnel, Army","ARMY","05","Permanent Change of Station Travel","160","Temporary Lodging Expense","Y","Add","U",2015,"OCO",,,0,,
2016,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","170","Apprehension of Military Deserters","Y","Add","U",2015,"OCO",,,0,,
2016,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","175","Interest on Uniformed Services Savings","Y","Add","U",2015,"OCO",,,1986,,
2016,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","180","Death Gratuities","Y","Add","U",2015,"OCO",,,3300,,
2016,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","185","Unemployment Benefits","Y","Add","U",2015,"OCO",,,129381,,
2016,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","195","Education Benefits","Y","Add","U",2015,"OCO",,,0,,
2016,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","200","Adoption Expenses","Y","Add","U",2015,"OCO",,,0,,
2016,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","210","Transportation Subsidy","Y","Add","U",2015,"OCO",,,0,,
2016,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","212","Reserve Income Replacement Program","Y","Add","U",2015,"OCO",,,0,,
2016,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","215","Partial Dislocation Allowance","Y","Add","U",2015,"OCO",,,0,,
2016,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","216","SGLI Extra Hazard Payments","Y","Add","U",2015,"OCO",,,5366,,
2016,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","217","Reserve Officers Training Corps (ROTC)","Y","Add","U",2015,"OCO",,,0,,
2016,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","218","Junior ROTC","Y","Add","U",2015,"OCO",,,0,,
2016,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","219","Traumatic Injury Protection Coverage (T-SGLI)","Y","Add","U",2015,"OCO",,,5868,,
2016,"2010A","Military Personnel, Army","ARMY","","Less Reimbursables","","Less Reimbursables","N","Add","U",2015,"OCO",,,0,,
2016,"1004A","MEDICARE - Retiree Health Care Contribution, A","ARMY","01","Health Care Contribution - Officers","300","Military Personnel, Army","Y","Add","U",2015,"OCO",,,15429,,
2016,"1004A","MEDICARE - Retiree Health Care Contribution, A","ARMY","02","Health Care Contribution - Enlisted","300","Military Personnel, Army","Y","Add","U",2015,"OCO",,,35597,,
2016,"2070A","Reserve Personnel, Army","ARMY","01","Reserve Component Training and Support","010","Pay Group A Training  (15 Days & Drills 24/48)","Y","Add","U",2015,"OCO",,,10955,,
2016,"2070A","Reserve Personnel, Army","ARMY","01","Reserve Component Training and Support","020","Pay Group B Training  (Backfill For Active Duty)","Y","Add","U",2015,"OCO",,,0,,
2016,"2070A","Reserve Personnel, Army","ARMY","01","Reserve Component Training and Support","030","Pay Group F Training  (Recruits)","Y","Add","U",2015,"OCO",,,0,,
2016,"2070A","Reserve Personnel, Army","ARMY","01","Reserve Component Training and Support","040","Pay Group P Training  (Pipeline Recruits)","Y","Add","U",2015,"OCO",,,0,,
2016,"2070A","Reserve Personnel, Army","ARMY","01","Reserve Component Training and Support","060","Mobilization Training","Y","Add","U",2015,"OCO",,,0,,
2016,"2070A","Reserve Personnel, Army","ARMY","01","Reserve Component Training and Support","070","School Training","Y","Add","U",2015,"OCO",,,0,,
2016,"2070A","Reserve Personnel, Army","ARMY","01","Reserve Component Training and Support","080","Special Training","Y","Add","U",2015,"OCO",,,14035,,
2016,"2070A","Reserve Personnel, Army","ARMY","01","Reserve Component Training and Support","090","Administration and Support","Y","Add","U",2015,"OCO",,,0,,
2016,"2070A","Reserve Personnel, Army","ARMY","01","Reserve Component Training and Support","100","Education Benefits","Y","Add","U",2015,"OCO",,,0,,
2016,"2070A","Reserve Personnel, Army","ARMY","01","Reserve Component Training and Support","120","Health Profession Scholarship","Y","Add","U",2015,"OCO",,,0,,
2016,"2070A","Reserve Personnel, Army","ARMY","01","Reserve Component Training and Support","130","Other Programs (Admin & Support)","Y","Add","U",2015,"OCO",,,0,,
2016,"1005A","MEDICARE - Retiree Health Care Contribution, A RES","ARMY","01","Health Care Contribution - Reserve Component","300","Reserve Personnel, Army","Y","Add","U",2015,"OCO",,,0,,
2016,"2060A","National Guard Personnel, Army","ARMY","01","Reserve Component Training and Support","010","Pay Group A Training  (15 Days & Drills 24/48)","Y","Add","U",2015,"OCO",,,28674,,
2016,"2060A","National Guard Personnel, Army","ARMY","01","Reserve Component Training and Support","030","Pay Group F Training  (Recruits)","Y","Add","U",2015,"OCO",,,0,,
2016,"2060A","National Guard Personnel, Army","ARMY","01","Reserve Component Training and Support","040","Pay Group P Training  (Pipeline Recruits)","Y","Add","U",2015,"OCO",,,0,,
2016,"2060A","National Guard Personnel, Army","ARMY","01","Reserve Component Training and Support","070","School Training","Y","Add","U",2015,"OCO",,,29818,,
2016,"2060A","National Guard Personnel, Army","ARMY","01","Reserve Component Training and Support","080","Special Training","Y","Add","U",2015,"OCO",,,105591,,
2016,"2060A","National Guard Personnel, Army","ARMY","01","Reserve Component Training and Support","090","Administration and Support","Y","Add","U",2015,"OCO",,,10695,,
2016,"2060A","National Guard Personnel, Army","ARMY","01","Reserve Component Training and Support","100","Education Benefits","Y","Add","U",2015,"OCO",,,0,,
2016,"1006A","MEDICARE - Retiree Health Care Contribution, A GUARD","ARMY","01","Health Care Contribution - Reserve Component","300","National Guard Personnel, Army","Y","Add","U",2015,"OCO",,,0,,
2016,"1453N","Military Personnel, Navy","NAVY","01","Pay and Allowances of Officers","005","Basic Pay","Y","Add","U",2015,"OCO",,,59609,,
2016,"1453N","Military Personnel, Navy","NAVY","01","Pay and Allowances of Officers","010","Retired Pay Accrual","Y","Add","U",2015,"OCO",,,13412,,
2016,"1453N","Military Personnel, Navy","NAVY","01","Pay and Allowances of Officers","025","Basic Allowance for Housing","Y","Add","U",2015,"OCO",,,19110,,
2016,"1453N","Military Personnel, Navy","NAVY","01","Pay and Allowances of Officers","030","Basic Allowance for Subsistence","Y","Add","U",2015,"OCO",,,2124,,
2016,"1453N","Military Personnel, Navy","NAVY","01","Pay and Allowances of Officers","035","Incentive Pays","Y","Add","U",2015,"OCO",,,526,,
2016,"1453N","Military Personnel, Navy","NAVY","01","Pay and Allowances of Officers","040","Special Pays","Y","Add","U",2015,"OCO",,,3913,,
2016,"1453N","Military Personnel, Navy","NAVY","01","Pay and Allowances of Officers","045","Allowances","Y","Add","U",2015,"OCO",,,7561,,
2016,"1453N","Military Personnel, Navy","NAVY","01","Pay and Allowances of Officers","050","Separation Pay","Y","Add","U",2015,"OCO",,,0,,
2016,"1453N","Military Personnel, Navy","NAVY","01","Pay and Allowances of Officers","055","Social Security Tax","Y","Add","U",2015,"OCO",,,4560,,
2016,"1453N","Military Personnel, Navy","NAVY","02","Pay And Allowances Of Enlisted Personnel","060","Basic Pay","Y","Add","U",2015,"OCO",,,70993,,
2016,"1453N","Military Personnel, Navy","NAVY","02","Pay And Allowances Of Enlisted Personnel","065","Retired Pay Accrual","Y","Add","U",2015,"OCO",,,15974,,
2016,"1453N","Military Personnel, Navy","NAVY","02","Pay And Allowances Of Enlisted Personnel","080","Basic Allowance for Housing","Y","Add","U",2015,"OCO",,,33590,,
2016,"1453N","Military Personnel, Navy","NAVY","02","Pay And Allowances Of Enlisted Personnel","085","Incentive Pays","Y","Add","U",2015,"OCO",,,141,,
2016,"1453N","Military Personnel, Navy","NAVY","02","Pay And Allowances Of Enlisted Personnel","090","Special Pays","Y","Add","U",2015,"OCO",,,7315,,
2016,"1453N","Military Personnel, Navy","NAVY","02","Pay And Allowances Of Enlisted Personnel","095","Allowances","Y","Add","U",2015,"OCO",,,16340,,
2016,"1453N","Military Personnel, Navy","NAVY","02","Pay And Allowances Of Enlisted Personnel","100","Separation Pay","Y","Add","U",2015,"OCO",,,0,,
2016,"1453N","Military Personnel, Navy","NAVY","02","Pay And Allowances Of Enlisted Personnel","105","Social Security Tax","Y","Add","U",2015,"OCO",,,5430,,
2016,"1453N","Military Personnel, Navy","NAVY","03","Pay And Allowances Of Cadets","110","Midshipmen","Y","Add","U",2015,"OCO",,,0,,
2016,"1453N","Military Personnel, Navy","NAVY","04","Subsistence of Enlisted Personnel","115","Basic Allowance for Subsistence","Y","Add","U",2015,"OCO",,,8149,,
2016,"1453N","Military Personnel, Navy","NAVY","04","Subsistence of Enlisted Personnel","120","Subsistence-In-Kind","Y","Add","U",2015,"OCO",,,24811,,
2016,"1453N","Military Personnel, Navy","NAVY","04","Subsistence of Enlisted Personnel","121","Family Subsistence Supplemental Allowance","Y","Add","U",2015,"OCO",,,0,,
2016,"1453N","Military Personnel, Navy","NAVY","05","Permanent Change of Station Travel","125","Accession Travel","Y","Add","U",2015,"OCO",,,2203,,
2016,"1453N","Military Personnel, Navy","NAVY","05","Permanent Change of Station Travel","130","Training Travel","Y","Add","U",2015,"OCO",,,0,,
2016,"1453N","Military Personnel, Navy","NAVY","05","Permanent Change of Station Travel","135","Operational Travel","Y","Add","U",2015,"OCO",,,3584,,
2016,"1453N","Military Personnel, Navy","NAVY","05","Permanent Change of Station Travel","140","Rotational Travel","Y","Add","U",2015,"OCO",,,12316,,
2016,"1453N","Military Personnel, Navy","NAVY","05","Permanent Change of Station Travel","145","Separation Travel","Y","Add","U",2015,"OCO",,,557,,
2016,"1453N","Military Personnel, Navy","NAVY","05","Permanent Change of Station Travel","150","Travel of Organized Units","Y","Add","U",2015,"OCO",,,0,,
2016,"1453N","Military Personnel, Navy","NAVY","05","Permanent Change of Station Travel","155","Non-Temporary Storage","Y","Add","U",2015,"OCO",,,0,,
2016,"1453N","Military Personnel, Navy","NAVY","05","Permanent Change of Station Travel","160","Temporary Lodging Expense","Y","Add","U",2015,"OCO",,,0,,
2016,"1453N","Military Personnel, Navy","NAVY","05","Permanent Change of Station Travel","165","Other","Y","Add","U",2015,"OCO",,,0,,
2016,"1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","170","Apprehension of Military Deserters","Y","Add","U",2015,"OCO",,,0,,
2016,"1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","175","Interest on Uniformed Services Savings","Y","Add","U",2015,"OCO",,,0,,
2016,"1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","180","Death Gratuities","Y","Add","U",2015,"OCO",,,700,,
2016,"1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","185","Unemployment Benefits","Y","Add","U",2015,"OCO",,,8071,,
2016,"1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","195","Education Benefits","Y","Add","U",2015,"OCO",,,0,,
2016,"1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","200","Adoption Expenses","Y","Add","U",2015,"OCO",,,0,,
2016,"1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","210","Transportation Subsidy","Y","Add","U",2015,"OCO",,,0,,
2016,"1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","212","Reserve Income Replacement Program","Y","Add","U",2015,"OCO",,,30,,
2016,"1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","215","Partial Dislocation Allowance","Y","Add","U",2015,"OCO",,,0,,
2016,"1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","216","SGLI Extra Hazard Payments","Y","Add","U",2015,"OCO",,,11147,,
2016,"1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","217","Reserve Officers Training Corps (ROTC)","Y","Add","U",2015,"OCO",,,0,,
2016,"1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","218","Junior ROTC","Y","Add","U",2015,"OCO",,,0,,
2016,"1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","221","Stop-Loss Retroactive Payments","Y","Add","U",2015,"OCO",,,0,,
2016,"1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","240","Cancelled Account Payment","Y","Add","U",2015,"OCO",,,0,,
2016,"1453N","Military Personnel, Navy","NAVY","","Less Reimbursables","","Less Reimbursables","N","Add","U",2015,"OCO",,,0,,
2016,"1000N","MEDICARE - Retiree Health Care Contribution, N","NAVY","01","Health Care Contribution - Officers","300","Navy","Y","Add","U",2015,"OCO",,,0,,
2016,"1000N","MEDICARE - Retiree Health Care Contribution, N","NAVY","02","Health Care Contribution - Enlisted","300","Navy","Y","Add","U",2015,"OCO",,,0,,
2016,"1105N","Military Personnel, Marine Corps","NAVY","01","Pay and Allowances of Officers","005","Basic Pay","Y","Add","U",2015,"OCO",,,52490,,
2016,"1105N","Military Personnel, Marine Corps","NAVY","01","Pay and Allowances of Officers","010","Retired Pay Accrual","Y","Add","U",2015,"OCO",,,13889,,
2016,"1105N","Military Personnel, Marine Corps","NAVY","01","Pay and Allowances of Officers","025","Basic Allowance for Housing","Y","Add","U",2015,"OCO",,,19010,,
2016,"1105N","Military Personnel, Marine Corps","NAVY","01","Pay and Allowances of Officers","030","Basic Allowance for Subsistence","Y","Add","U",2015,"OCO",,,1894,,
2016,"1105N","Military Personnel, Marine Corps","NAVY","01","Pay and Allowances of Officers","035","Incentive Pays","Y","Add","U",2015,"OCO",,,0,,
2016,"1105N","Military Personnel, Marine Corps","NAVY","01","Pay and Allowances of Officers","040","Special Pays","Y","Add","U",2015,"OCO",,,2073,,
2016,"1105N","Military Personnel, Marine Corps","NAVY","01","Pay and Allowances of Officers","045","Allowances","Y","Add","U",2015,"OCO",,,2684,,
2016,"1105N","Military Personnel, Marine Corps","NAVY","01","Pay and Allowances of Officers","050","Separation Pay","Y","Add","U",2015,"OCO",,,26101,,
2016,"1105N","Military Personnel, Marine Corps","NAVY","01","Pay and Allowances of Officers","055","Social Security Tax","Y","Add","U",2015,"OCO",,,4016,,
2016,"1105N","Military Personnel, Marine Corps","NAVY","02","Pay And Allowances Of Enlisted Personnel","060","Basic Pay","Y","Add","U",2015,"OCO",,,56031,,
2016,"1105N","Military Personnel, Marine Corps","NAVY","02","Pay And Allowances Of Enlisted Personnel","065","Retired Pay Accrual","Y","Add","U",2015,"OCO",,,14793,,
2016,"1105N","Military Personnel, Marine Corps","NAVY","02","Pay And Allowances Of Enlisted Personnel","080","Basic Allowance for Housing","Y","Add","U",2015,"OCO",,,18554,,
2016,"1105N","Military Personnel, Marine Corps","NAVY","02","Pay And Allowances Of Enlisted Personnel","085","Incentive Pays","Y","Add","U",2015,"OCO",,,0,,
2016,"1105N","Military Personnel, Marine Corps","NAVY","02","Pay And Allowances Of Enlisted Personnel","090","Special Pays","Y","Add","U",2015,"OCO",,,9771,,
2016,"1105N","Military Personnel, Marine Corps","NAVY","02","Pay And Allowances Of Enlisted Personnel","095","Allowances","Y","Add","U",2015,"OCO",,,12232,,
2016,"1105N","Military Personnel, Marine Corps","NAVY","02","Pay And Allowances Of Enlisted Personnel","100","Separation Pay","Y","Add","U",2015,"OCO",,,126317,,
2016,"1105N","Military Personnel, Marine Corps","NAVY","02","Pay And Allowances Of Enlisted Personnel","105","Social Security Tax","Y","Add","U",2015,"OCO",,,4286,,
2016,"1105N","Military Personnel, Marine Corps","NAVY","04","Subsistence of Enlisted Personnel","115","Basic Allowance for Subsistence","Y","Add","U",2015,"OCO",,,18243,,
2016,"1105N","Military Personnel, Marine Corps","NAVY","04","Subsistence of Enlisted Personnel","120","Subsistence-In-Kind","Y","Add","U",2015,"OCO",,,0,,
2016,"1105N","Military Personnel, Marine Corps","NAVY","04","Subsistence of Enlisted Personnel","121","Family Subsistence Supplemental Allowance","Y","Add","U",2015,"OCO",,,0,,
2016,"1105N","Military Personnel, Marine Corps","NAVY","05","Permanent Change of Station Travel","125","Accession Travel","Y","Add","U",2015,"OCO",,,0,,
2016,"1105N","Military Personnel, Marine Corps","NAVY","05","Permanent Change of Station Travel","130","Training Travel","Y","Add","U",2015,"OCO",,,0,,
2016,"1105N","Military Personnel, Marine Corps","NAVY","05","Permanent Change of Station Travel","135","Operational Travel","Y","Add","U",2015,"OCO",,,0,,
2016,"1105N","Military Personnel, Marine Corps","NAVY","05","Permanent Change of Station Travel","140","Rotational Travel","Y","Add","U",2015,"OCO",,,0,,
2016,"1105N","Military Personnel, Marine Corps","NAVY","05","Permanent Change of Station Travel","145","Separation Travel","Y","Add","U",2015,"OCO",,,13109,,
2016,"1105N","Military Personnel, Marine Corps","NAVY","05","Permanent Change of Station Travel","150","Travel of Organized Units","Y","Add","U",2015,"OCO",,,0,,
2016,"1105N","Military Personnel, Marine Corps","NAVY","05","Permanent Change of Station Travel","155","Non-Temporary Storage","Y","Add","U",2015,"OCO",,,0,,
2016,"1105N","Military Personnel, Marine Corps","NAVY","05","Permanent Change of Station Travel","160","Temporary Lodging Expense","Y","Add","U",2015,"OCO",,,0,,
2016,"1105N","Military Personnel, Marine Corps","NAVY","05","Permanent Change of Station Travel","165","Other","Y","Add","U",2015,"OCO",,,0,,
2016,"1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","170","Apprehension of Military Deserters","Y","Add","U",2015,"OCO",,,0,,
2016,"1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","175","Interest on Uniformed Services Savings","Y","Add","U",2015,"OCO",,,302,,
2016,"1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","180","Death Gratuities","Y","Add","U",2015,"OCO",,,300,,
2016,"1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","185","Unemployment Benefits","Y","Add","U",2015,"OCO",,,4000,,
2016,"1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","195","Education Benefits","Y","Add","U",2015,"OCO",,,0,,
2016,"1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","200","Adoption Expenses","Y","Add","U",2015,"OCO",,,0,,
2016,"1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","210","Transportation Subsidy","Y","Add","U",2015,"OCO",,,0,,
2016,"1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","215","Partial Dislocation Allowance","Y","Add","U",2015,"OCO",,,0,,
2016,"1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","216","SGLI Extra Hazard Payments","Y","Add","U",2015,"OCO",,,3216,,
2016,"1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","218","Junior ROTC","Y","Add","U",2015,"OCO",,,0,,
2016,"1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","221","Stop-Loss Retroactive Payments","Y","Add","U",2015,"OCO",,,0,,
2016,"1105N","Military Personnel, Marine Corps","NAVY","","Less Reimbursables","","Less Reimbursables","N","Add","U",2015,"OCO",,,0,,
